inventory_id,material_id,warehouse_id,on_hand_qty,allocated_qty,available_qty,in_transit_qty,quality_hold_qty,safety_stock_qty,reorder_point_qty,average_unit_cost,last_counted_at,updated_at
INV-0001-01,MAT-0001,WH-01,786,30,756,100,4,351,473,174.9,2026-05-20T08:00:00+08:00,2026-06-15T05:13:00+08:00
INV-0001-02,MAT-0001,WH-02,531,8,523,299,12,351,473,174.9,2026-05-16T08:00:00+08:00,2026-06-15T06:43:00+08:00
INV-0001-03,MAT-0001,WH-03,312,16,296,284,11,351,473,174.9,2026-05-17T08:00:00+08:00,2026-06-15T07:16:00+08:00
INV-0001-04,MAT-0001,WH-04,269,89,180,398,5,351,473,174.9,2026-06-15T08:00:00+08:00,2026-06-15T06:58:00+08:00
INV-0001-05,MAT-0001,WH-05,366,100,266,409,9,351,473,174.9,2026-06-04T08:00:00+08:00,2026-06-15T06:26:00+08:00
INV-0001-06,MAT-0001,WH-06,556,170,386,79,14,351,473,174.9,2026-05-29T08:00:00+08:00,2026-06-15T05:43:00+08:00
INV-0002-01,MAT-0002,WH-01,1055,259,796,98,14,489,660,1108.39,2026-05-17T08:00:00+08:00,2026-06-15T05:50:00+08:00
INV-0002-02,MAT-0002,WH-02,628,92,536,315,4,489,660,1108.39,2026-06-12T08:00:00+08:00,2026-06-15T05:49:00+08:00
INV-0002-03,MAT-0002,WH-03,126,12,114,534,4,489,660,1108.39,2026-05-22T08:00:00+08:00,2026-06-15T05:43:00+08:00
INV-0002-04,MAT-0002,WH-04,754,172,582,54,28,489,660,1108.39,2026-05-29T08:00:00+08:00,2026-06-15T05:49:00+08:00
INV-0002-05,MAT-0002,WH-05,791,212,579,550,23,489,660,1108.39,2026-06-05T08:00:00+08:00,2026-06-15T07:18:00+08:00
INV-0002-06,MAT-0002,WH-06,342,38,304,183,2,489,660,1108.39,2026-06-12T08:00:00+08:00,2026-06-15T07:16:00+08:00
INV-0003-01,MAT-0003,WH-01,1283,244,1039,487,0,600,811,267.98,2026-05-17T08:00:00+08:00,2026-06-15T06:30:00+08:00
INV-0003-02,MAT-0003,WH-02,538,52,486,506,14,600,811,267.98,2026-06-13T08:00:00+08:00,2026-06-15T05:50:00+08:00
INV-0003-03,MAT-0003,WH-03,685,217,468,85,15,600,811,267.98,2026-05-23T08:00:00+08:00,2026-06-15T05:00:00+08:00
INV-0003-04,MAT-0003,WH-04,377,30,347,709,11,600,811,267.98,2026-06-14T08:00:00+08:00,2026-06-15T05:32:00+08:00
INV-0003-05,MAT-0003,WH-05,966,104,862,347,6,600,811,267.98,2026-05-16T08:00:00+08:00,2026-06-15T07:13:00+08:00
INV-0003-06,MAT-0003,WH-06,125,36,89,693,2,600,811,267.98,2026-05-28T08:00:00+08:00,2026-06-15T05:59:00+08:00
INV-0004-01,MAT-0004,WH-01,253,33,220,322,5,322,435,351.05,2026-05-23T08:00:00+08:00,2026-06-15T07:27:00+08:00
INV-0004-02,MAT-0004,WH-02,249,22,227,99,1,322,435,351.05,2026-05-19T08:00:00+08:00,2026-06-15T06:14:00+08:00
INV-0004-03,MAT-0004,WH-03,254,30,224,177,2,322,435,351.05,2026-06-05T08:00:00+08:00,2026-06-15T05:49:00+08:00
INV-0004-04,MAT-0004,WH-04,722,78,644,367,8,322,435,351.05,2026-06-03T08:00:00+08:00,2026-06-15T05:40:00+08:00
INV-0004-05,MAT-0004,WH-05,333,62,271,63,0,322,435,351.05,2026-06-07T08:00:00+08:00,2026-06-15T05:00:00+08:00
INV-0004-06,MAT-0004,WH-06,182,38,144,81,7,322,435,351.05,2026-05-22T08:00:00+08:00,2026-06-15T05:28:00+08:00
INV-0005-01,MAT-0005,WH-01,656,207,449,231,2,891,1202,358.96,2026-06-14T08:00:00+08:00,2026-06-15T06:07:00+08:00
INV-0005-02,MAT-0005,WH-02,1227,53,1174,547,37,891,1202,358.96,2026-06-15T08:00:00+08:00,2026-06-15T06:48:00+08:00
INV-0005-03,MAT-0005,WH-03,1033,278,755,136,36,891,1202,358.96,2026-06-14T08:00:00+08:00,2026-06-15T06:14:00+08:00
INV-0005-04,MAT-0005,WH-04,2027,419,1608,55,63,891,1202,358.96,2026-05-24T08:00:00+08:00,2026-06-15T06:39:00+08:00
INV-0005-05,MAT-0005,WH-05,436,20,416,1030,14,891,1202,358.96,2026-06-03T08:00:00+08:00,2026-06-15T06:37:00+08:00
INV-0005-06,MAT-0005,WH-06,371,17,354,728,1,891,1202,358.96,2026-05-25T08:00:00+08:00,2026-06-15T06:58:00+08:00
INV-0006-01,MAT-0006,WH-01,283,2,281,59,5,125,168,344.89,2026-06-02T08:00:00+08:00,2026-06-15T07:50:00+08:00
INV-0006-02,MAT-0006,WH-02,190,20,170,145,4,125,168,344.89,2026-06-08T08:00:00+08:00,2026-06-15T05:33:00+08:00
INV-0006-03,MAT-0006,WH-03,291,86,205,107,10,125,168,344.89,2026-06-10T08:00:00+08:00,2026-06-15T06:15:00+08:00
INV-0006-04,MAT-0006,WH-04,297,88,209,15,7,125,168,344.89,2026-06-05T08:00:00+08:00,2026-06-15T05:31:00+08:00
INV-0006-05,MAT-0006,WH-05,49,9,40,15,1,125,168,344.89,2026-05-24T08:00:00+08:00,2026-06-15T06:30:00+08:00
INV-0006-06,MAT-0006,WH-06,278,50,228,111,1,125,168,344.89,2026-06-14T08:00:00+08:00,2026-06-15T05:31:00+08:00
