production_plan_id,plant_warehouse_id,finished_material_id,planned_qty,planned_start_at,planned_end_at,plan_status,priority,material_readiness_rate,updated_at
PP-0000001,WH-02,MAT-0118,19920,2025-10-28T12:00:00+08:00,2025-11-01T15:00:00+08:00,at_risk,normal,0.7455,2025-10-29T06:00:00+08:00
PP-0000002,WH-02,MAT-0158,12539,2026-03-13T20:00:00+08:00,2026-03-17T04:00:00+08:00,planned,normal,0.91,2026-03-14T01:00:00+08:00
PP-0000003,WH-02,MAT-0182,3642,2025-10-04T23:00:00+08:00,2025-10-07T03:00:00+08:00,at_risk,normal,0.9891,2025-10-06T18:00:00+08:00
PP-0000004,WH-04,MAT-0021,6979,2025-07-25T18:00:00+08:00,2025-07-28T21:00:00+08:00,planned,normal,0.7925,2025-07-26T04:00:00+08:00
PP-0000005,WH-04,MAT-0105,4012,2026-06-06T15:00:00+08:00,2026-06-09T02:00:00+08:00,planned,high,0.9766,2026-06-08T00:00:00+08:00
PP-0000006,WH-02,MAT-0090,14355,2026-04-06T01:00:00+08:00,2026-04-09T19:00:00+08:00,completed,normal,0.9352,2026-04-07T15:00:00+08:00
PP-0000007,WH-02,MAT-0207,14116,2026-07-03T11:00:00+08:00,2026-07-07T00:00:00+08:00,planned,normal,0.5665,2026-06-15T08:00:00+08:00
PP-0000008,WH-04,MAT-0108,5618,2025-07-16T07:00:00+08:00,2025-07-20T15:00:00+08:00,completed,high,0.7283,2025-07-18T03:00:00+08:00
PP-0000009,WH-04,MAT-0194,19007,2025-10-31T18:00:00+08:00,2025-11-05T11:00:00+08:00,planned,normal,0.8692,2025-10-31T21:00:00+08:00
PP-0000010,WH-02,MAT-0170,11211,2025-10-26T18:00:00+08:00,2025-10-27T15:00:00+08:00,completed,normal,0.7811,2025-10-27T23:00:00+08:00
PP-0000011,WH-02,MAT-0069,878,2026-03-07T15:00:00+08:00,2026-03-09T10:00:00+08:00,completed,high,0.9559,2026-03-08T12:00:00+08:00
PP-0000012,WH-02,MAT-0211,17245,2025-11-06T18:00:00+08:00,2025-11-10T12:00:00+08:00,planned,high,0.6765,2025-11-07T17:00:00+08:00
PP-0000013,WH-02,MAT-0031,19354,2026-07-18T22:00:00+08:00,2026-07-20T01:00:00+08:00,at_risk,normal,0.9054,2026-06-15T08:00:00+08:00
PP-0000014,WH-04,MAT-0144,16185,2026-04-14T04:00:00+08:00,2026-04-17T19:00:00+08:00,completed,normal,0.8542,2026-04-14T19:00:00+08:00
PP-0000015,WH-02,MAT-0152,7298,2026-01-15T22:00:00+08:00,2026-01-16T11:00:00+08:00,planned,normal,0.6706,2026-01-16T00:00:00+08:00
PP-0000016,WH-04,MAT-0131,19544,2025-11-18T11:00:00+08:00,2025-11-21T15:00:00+08:00,released,normal,0.8696,2025-11-18T23:00:00+08:00
PP-0000017,WH-02,MAT-0022,5220,2026-06-13T00:00:00+08:00,2026-06-14T01:00:00+08:00,released,normal,0.9534,2026-06-13T17:00:00+08:00
