purchase_order_line_id,purchase_order_id,line_no,material_id,ordered_qty,received_qty,unit_cost,line_amount,warehouse_id,updated_at
PO-202602-000001-01,PO-202602-000001,1,MAT-0123,704,310,127.83,89992.32,WH-05,2026-03-12T03:10:00+08:00
PO-202601-000002-01,PO-202601-000002,1,MAT-0050,11411,11411,788.34,8995747.74,WH-04,2026-01-27T11:04:00+08:00
PO-202601-000002-02,PO-202601-000002,2,MAT-0209,335,335,1312.18,439580.3,WH-02,2026-02-06T11:04:00+08:00
PO-202601-000002-03,PO-202601-000002,3,MAT-0069,5589,5589,493.44,2757836.16,WH-02,2026-02-01T11:04:00+08:00
PO-202511-000003-01,PO-202511-000003,1,MAT-0157,8531,3177,231.61,1975864.91,WH-03,2025-12-12T14:34:00+08:00
PO-202511-000003-02,PO-202511-000003,2,MAT-0029,8308,2595,452.66,3760699.28,WH-06,2025-11-21T14:34:00+08:00
PO-202511-000004-01,PO-202511-000004,1,MAT-0080,5921,5921,204.09,1208416.89,WH-06,2025-12-08T10:03:00+08:00
PO-202511-000004-02,PO-202511-000004,2,MAT-0056,9228,9228,361.29,3333984.12,WH-03,2025-11-20T10:03:00+08:00
PO-202511-000004-03,PO-202511-000004,3,MAT-0054,5275,5275,659.88,3480867.0,WH-06,2025-11-13T10:03:00+08:00
PO-202511-000004-04,PO-202511-000004,4,MAT-0164,5931,5931,591.82,3510084.42,WH-03,2025-12-16T10:03:00+08:00
PO-202510-000005-01,PO-202510-000005,1,MAT-0063,3463,3463,114.62,396929.06,WH-05,2025-11-19T19:55:00+08:00
PO-202510-000005-02,PO-202510-000005,2,MAT-0112,11445,11445,19.03,217798.35,WH-06,2025-10-19T19:55:00+08:00
PO-202510-000005-03,PO-202510-000005,3,MAT-0039,1938,1938,1047.13,2029337.94,WH-03,2025-11-11T19:55:00+08:00
PO-202512-000006-01,PO-202512-000006,1,MAT-0120,3264,3264,16.96,55357.44,WH-04,2025-12-27T03:32:00+08:00
PO-202512-000006-02,PO-202512-000006,2,MAT-0085,2188,2188,448.29,980858.52,WH-06,2026-01-02T03:32:00+08:00
PO-202605-000007-01,PO-202605-000007,1,MAT-0232,11087,2694,872.41,9672409.67,WH-04,2026-05-31T03:32:00+08:00
PO-202605-000007-02,PO-202605-000007,2,MAT-0043,4334,1932,297.64,1289971.76,WH-06,2026-05-19T03:32:00+08:00
PO-202605-000007-03,PO-202605-000007,3,MAT-0190,6422,4334,168.92,1084804.24,WH-04,2026-05-18T03:32:00+08:00
PO-202605-000008-01,PO-202605-000008,1,MAT-0164,3421,3421,591.82,2024616.22,WH-02,2026-05-20T08:13:00+08:00
PO-202509-000009-01,PO-202509-000009,1,MAT-0204,7860,7860,226.74,1782176.4,WH-05,2025-09-24T00:48:00+08:00
PO-202508-000010-01,PO-202508-000010,1,MAT-0182,5914,2832,330.54,1954813.56,WH-01,2025-09-02T08:52:00+08:00
PO-202508-000010-02,PO-202508-000010,2,MAT-0096,6322,2839,305.92,1934026.24,WH-05,2025-09-04T08:52:00+08:00
PO-202508-000010-03,PO-202508-000010,3,MAT-0090,7714,333,3.95,30470.3,WH-06,2025-09-10T08:52:00+08:00
PO-202508-000010-04,PO-202508-000010,4,MAT-0236,686,51,618.58,424345.88,WH-01,2025-08-06T08:52:00+08:00
PO-202511-000011-01,PO-202511-000011,1,MAT-0074,4415,4415,15.83,69889.45,WH-02,2025-12-26T05:45:00+08:00
PO-202511-000011-02,PO-202511-000011,2,MAT-0187,6476,6476,32.84,212671.84,WH-06,2025-12-23T05:45:00+08:00
PO-202604-000012-01,PO-202604-000012,1,MAT-0093,6534,6534,1111.43,7262083.62,WH-04,2026-05-10T20:00:00+08:00
PO-202604-000012-02,PO-202604-000012,2,MAT-0082,1847,1847,347.52,641869.44,WH-03,2026-05-08T20:00:00+08:00
PO-202512-000013-01,PO-202512-000013,1,MAT-0070,10499,10499,149.56,1570230.44,WH-03,2026-01-20T01:06:00+08:00
PO-202512-000013-02,PO-202512-000013,2,MAT-0051,9978,9978,53.58,534621.24,WH-01,2026-01-08T01:06:00+08:00
PO-202509-000014-01,PO-202509-000014,1,MAT-0093,5787,5787,856.9,4958880.3,WH-05,2025-09-25T06:33:00+08:00
PO-202509-000014-02,PO-202509-000014,2,MAT-0189,1832,1832,1017.77,1864554.64,WH-04,2025-09-24T06:33:00+08:00
PO-202602-000015-01,PO-202602-000015,1,MAT-0077,547,547,6.25,3418.75,WH-04,2026-02-15T23:56:00+08:00
PO-202602-000015-02,PO-202602-000015,2,MAT-0020,5832,5832,246.47,1437413.04,WH-04,2026-03-03T23:56:00+08:00
PO-202602-000015-03,PO-202602-000015,3,MAT-0022,11709,11709,79.45,930280.05,WH-04,2026-03-12T23:56:00+08:00
PO-202602-000015-04,PO-202602-000015,4,MAT-0009,4700,4700,55.1,258970.0,WH-04,2026-02-18T23:56:00+08:00
PO-202508-000016-01,PO-202508-000016,1,MAT-0005,3222,2190,399.05,1285739.1,WH-06,2025-09-08T11:34:00+08:00
PO-202508-000016-02,PO-202508-000016,2,MAT-0200,11884,1202,374.88,4455073.92,WH-04,2025-09-14T11:34:00+08:00
PO-202508-000016-03,PO-202508-000016,3,MAT-0060,233,85,622.75,145100.75,WH-06,2025-09-27T11:34:00+08:00
PO-202510-000017-01,PO-202510-000017,1,MAT-0167,1733,1365,99.96,173230.68,WH-02,2025-11-17T15:33:00+08:00
PO-202510-000017-02,PO-202510-000017,2,MAT-0078,9380,3612,203.59,1909674.2,WH-02,2025-11-03T15:33:00+08:00
PO-202510-000017-03,PO-202510-000017,3,MAT-0021,11340,250,10.96,124286.4,WH-06,2025-10-29T15:33:00+08:00
PO-202508-000018-01,PO-202508-000018,1,MAT-0057,774,568,157.14,121626.36,WH-05,2025-09-12T16:11:00+08:00
PO-202507-000019-01,PO-202507-000019,1,MAT-0134,11143,11143,245.18,2732040.74,WH-04,2025-08-02T16:23:00+08:00
PO-202507-000019-02,PO-202507-000019,2,MAT-0044,3654,3654,13.42,49036.68,WH-04,2025-08-25T16:23:00+08:00
PO-202507-000019-03,PO-202507-000019,3,MAT-0172,11153,11153,658.33,7342354.49,WH-01,2025-08-20T16:23:00+08:00
PO-202507-000019-04,PO-202507-000019,4,MAT-0073,9322,9322,20.33,189516.26,WH-04,2025-08-29T16:23:00+08:00
PO-202511-000020-01,PO-202511-000020,1,MAT-0121,5130,467,170.39,874100.7,WH-02,2025-12-16T02:10:00+08:00
PO-202511-000020-02,PO-202511-000020,2,MAT-0204,10283,4041,206.52,2123645.16,WH-05,2025-12-14T02:10:00+08:00
PO-202509-000021-01,PO-202509-000021,1,MAT-0185,6047,2766,564.22,3411838.34,WH-03,2025-10-09T13:24:00+08:00
PO-202509-000021-02,PO-202509-000021,2,MAT-0199,6346,1280,677.99,4302524.54,WH-02,2025-10-22T13:24:00+08:00
PO-202509-000021-03,PO-202509-000021,3,MAT-0063,5638,3644,104.21,587535.98,WH-04,2025-10-10T13:24:00+08:00
PO-202508-000022-01,PO-202508-000022,1,MAT-0137,8064,3752,1299.03,10475377.92,WH-01,2025-09-02T05:07:00+08:00
PO-202508-000022-02,PO-202508-000022,2,MAT-0030,3187,538,20.57,65556.59,WH-06,2025-09-16T05:07:00+08:00
PO-202508-000022-03,PO-202508-000022,3,MAT-0174,9168,6166,5.75,52716.0,WH-03,2025-09-25T05:07:00+08:00
PO-202508-000022-04,PO-202508-000022,4,MAT-0045,267,159,23.08,6162.36,WH-03,2025-09-18T05:07:00+08:00
PO-202603-000023-01,PO-202603-000023,1,MAT-0220,7339,7339,330.68,2426860.52,WH-01,2026-04-06T03:00:00+08:00
PO-202603-000023-02,PO-202603-000023,2,MAT-0034,9266,9266,42.93,397789.38,WH-02,2026-04-13T03:00:00+08:00
PO-202603-000023-03,PO-202603-000023,3,MAT-0147,6460,6460,605.73,3913015.8,WH-02,2026-04-03T03:00:00+08:00
PO-202511-000024-01,PO-202511-000024,1,MAT-0111,11864,11864,49.74,590115.36,WH-04,2025-12-07T08:20:00+08:00
PO-202511-000024-02,PO-202511-000024,2,MAT-0027,11664,11664,637.57,7436616.48,WH-03,2025-12-07T08:20:00+08:00
PO-202507-000025-01,PO-202507-000025,1,MAT-0003,5570,5570,278.84,1553138.8,WH-04,2025-08-08T18:12:00+08:00
PO-202507-000025-02,PO-202507-000025,2,MAT-0220,2291,2291,305.52,699946.32,WH-04,2025-08-06T18:12:00+08:00
PO-202507-000025-03,PO-202507-000025,3,MAT-0097,7894,7894,747.22,5898554.68,WH-05,2025-07-29T18:12:00+08:00
PO-202511-000026-01,PO-202511-000026,1,MAT-0228,5577,5577,9.87,55044.99,WH-03,2025-11-27T11:30:00+08:00
PO-202511-000026-02,PO-202511-000026,2,MAT-0240,2763,2763,124.5,343993.5,WH-05,2025-11-30T11:30:00+08:00
PO-202511-000026-03,PO-202511-000026,3,MAT-0061,2506,2506,397.83,996961.98,WH-04,2025-11-16T11:30:00+08:00
PO-202509-000027-01,PO-202509-000027,1,MAT-0086,1255,1255,89.31,112084.05,WH-04,2025-10-14T21:24:00+08:00
PO-202509-000027-02,PO-202509-000027,2,MAT-0074,5634,5634,17.14,96566.76,WH-03,2025-10-01T21:24:00+08:00
PO-202509-000027-03,PO-202509-000027,3,MAT-0115,11029,11029,362.79,4001210.91,WH-05,2025-11-08T21:24:00+08:00
PO-202602-000028-01,PO-202602-000028,1,MAT-0077,5438,5438,6.82,37087.16,WH-02,2026-04-05T14:43:00+08:00
PO-202602-000028-02,PO-202602-000028,2,MAT-0134,4025,4025,205.17,825809.25,WH-05,2026-03-20T14:43:00+08:00
PO-202602-000028-03,PO-202602-000028,3,MAT-0087,5658,5658,45.7,258570.6,WH-04,2026-03-03T14:43:00+08:00
PO-202605-000029-01,PO-202605-000029,1,MAT-0084,7302,706,409.94,2993381.88,WH-06,2026-06-15T08:00:00+08:00
PO-202606-000030-01,PO-202606-000030,1,MAT-0207,7819,2500,295.67,2311843.73,WH-03,2026-06-15T08:00:00+08:00
PO-202606-000030-02,PO-202606-000030,2,MAT-0179,11498,3527,678.57,7802197.86,WH-01,2026-06-15T08:00:00+08:00
PO-202606-000030-03,PO-202606-000030,3,MAT-0189,8160,4659,787.25,6423960.0,WH-05,2026-06-15T08:00:00+08:00
PO-202606-000030-04,PO-202606-000030,4,MAT-0086,779,347,120.6,93947.4,WH-01,2026-06-15T08:00:00+08:00
PO-202604-000031-01,PO-202604-000031,1,MAT-0017,11797,9165,84.67,998851.99,WH-03,2026-06-02T23:45:00+08:00
PO-202604-000031-02,PO-202604-000031,2,MAT-0173,10334,258,754.43,7796279.62,WH-04,2026-06-02T23:45:00+08:00
PO-202602-000032-01,PO-202602-000032,1,MAT-0174,1614,1614,4.62,7456.68,WH-01,2026-02-21T17:51:00+08:00
PO-202507-000033-01,PO-202507-000033,1,MAT-0111,10859,806,48.12,522535.08,WH-01,2025-08-06T18:01:00+08:00
PO-202507-000033-02,PO-202507-000033,2,MAT-0035,5153,832,9.68,49881.04,WH-06,2025-08-19T18:01:00+08:00
PO-202507-000033-03,PO-202507-000033,3,MAT-0063,2806,1999,104.21,292413.26,WH-04,2025-08-10T18:01:00+08:00
PO-202510-000034-01,PO-202510-000034,1,MAT-0010,10937,10937,849.95,9295903.15,WH-04,2025-11-17T20:28:00+08:00
PO-202510-000034-02,PO-202510-000034,2,MAT-0076,10524,10524,324.05,3410302.2,WH-04,2025-10-29T20:28:00+08:00
PO-202510-000034-03,PO-202510-000034,3,MAT-0097,2743,2743,953.91,2616575.13,WH-02,2025-10-17T20:28:00+08:00
PO-202510-000034-04,PO-202510-000034,4,MAT-0174,3384,3384,4.62,15634.08,WH-04,2025-11-20T20:28:00+08:00
PO-202508-000035-01,PO-202508-000035,1,MAT-0156,1380,588,21.63,29849.4,WH-05,2025-09-03T13:40:00+08:00
PO-202508-000035-02,PO-202508-000035,2,MAT-0090,11261,1826,3.95,44480.95,WH-03,2025-09-07T13:40:00+08:00
PO-202508-000035-03,PO-202508-000035,3,MAT-0051,10402,5240,45.75,475891.5,WH-04,2025-09-20T13:40:00+08:00
PO-202507-000036-01,PO-202507-000036,1,MAT-0191,3760,1341,392.15,1474484.0,WH-03,2025-08-03T19:39:00+08:00
PO-202507-000036-02,PO-202507-000036,2,MAT-0038,6806,739,575.89,3919507.34,WH-03,2025-07-28T19:39:00+08:00
PO-202507-000036-03,PO-202507-000036,3,MAT-0095,6696,3042,315.01,2109306.96,WH-01,2025-07-10T19:39:00+08:00
PO-202510-000037-01,PO-202510-000037,1,MAT-0031,9975,9975,719.01,7172124.75,WH-06,2025-12-11T07:12:00+08:00
PO-202510-000037-02,PO-202510-000037,2,MAT-0232,511,511,906.56,463252.16,WH-03,2025-12-10T07:12:00+08:00
PO-202604-000038-01,PO-202604-000038,1,MAT-0147,9063,9063,678.43,6148611.09,WH-04,2026-05-12T14:20:00+08:00
PO-202604-000038-02,PO-202604-000038,2,MAT-0221,7441,7441,243.43,1811362.63,WH-01,2026-06-09T14:20:00+08:00
PO-202604-000038-03,PO-202604-000038,3,MAT-0178,10879,10879,340.83,3707889.57,WH-06,2026-05-24T14:20:00+08:00
PO-202604-000038-04,PO-202604-000038,4,MAT-0002,5907,5907,1258.46,7433723.22,WH-05,2026-05-18T14:20:00+08:00
PO-202512-000039-01,PO-202512-000039,1,MAT-0026,7107,3332,942.62,6699200.34,WH-05,2026-01-11T03:40:00+08:00
PO-202512-000039-02,PO-202512-000039,2,MAT-0125,757,64,761.81,576690.17,WH-06,2026-01-18T03:40:00+08:00
PO-202602-000040-01,PO-202602-000040,1,MAT-0010,4134,1391,849.95,3513693.3,WH-05,2026-03-18T09:20:00+08:00
PO-202602-000040-02,PO-202602-000040,2,MAT-0227,8170,2735,752.63,6148987.1,WH-05,2026-03-13T09:20:00+08:00
PO-202601-000041-01,PO-202601-000041,1,MAT-0203,3037,3037,658.92,2001140.04,WH-05,2026-03-06T05:03:00+08:00
PO-202601-000041-02,PO-202601-000041,2,MAT-0096,1998,1998,318.05,635463.9,WH-06,2026-02-20T05:03:00+08:00
PO-202512-000042-01,PO-202512-000042,1,MAT-0154,7557,7557,97.39,735976.23,WH-04,2026-01-31T11:37:00+08:00
PO-202512-000042-02,PO-202512-000042,2,MAT-0062,6424,6424,929.3,5969823.2,WH-04,2026-01-13T11:37:00+08:00
PO-202512-000042-03,PO-202512-000042,3,MAT-0008,837,837,405.9,339738.3,WH-02,2026-02-01T11:37:00+08:00
PO-202605-000043-01,PO-202605-000043,1,MAT-0128,3228,1433,54.58,176184.24,WH-02,2026-05-31T06:50:00+08:00
PO-202605-000043-02,PO-202605-000043,2,MAT-0052,10599,7890,106.63,1130171.37,WH-05,2026-06-11T06:50:00+08:00
PO-202605-000043-03,PO-202605-000043,3,MAT-0221,4900,466,288.92,1415708.0,WH-03,2026-05-27T06:50:00+08:00
PO-202602-000044-01,PO-202602-000044,1,MAT-0080,1194,663,256.21,305914.74,WH-02,2026-03-18T20:06:00+08:00
PO-202602-000044-02,PO-202602-000044,2,MAT-0180,7810,3029,192.8,1505768.0,WH-05,2026-02-04T20:06:00+08:00
PO-202510-000045-01,PO-202510-000045,1,MAT-0036,11616,11616,122.35,1421217.6,WH-06,2025-10-20T11:04:00+08:00
PO-202510-000045-02,PO-202510-000045,2,MAT-0021,8623,8623,13.55,116841.65,WH-03,2025-11-18T11:04:00+08:00
PO-202510-000045-03,PO-202510-000045,3,MAT-0132,5577,5577,38.95,217224.15,WH-05,2025-10-10T11:04:00+08:00
PO-202604-000046-01,PO-202604-000046,1,MAT-0057,8657,8657,141.37,1223840.09,WH-04,2026-04-20T17:00:00+08:00
PO-202604-000046-02,PO-202604-000046,2,MAT-0214,9982,9982,140.78,1405265.96,WH-05,2026-04-20T17:00:00+08:00
PO-202604-000046-03,PO-202604-000046,3,MAT-0206,10302,10302,90.52,932537.04,WH-05,2026-05-22T17:00:00+08:00
PO-202511-000047-01,PO-202511-000047,1,MAT-0214,11942,6228,169.29,2021661.18,WH-05,2025-12-02T15:05:00+08:00
PO-202507-000048-01,PO-202507-000048,1,MAT-0210,5855,5855,58.71,343747.05,WH-04,2025-08-10T23:31:00+08:00
PO-202507-000048-02,PO-202507-000048,2,MAT-0087,2590,2590,45.7,118363.0,WH-03,2025-07-27T23:31:00+08:00
PO-202507-000048-03,PO-202507-000048,3,MAT-0103,4907,4907,766.51,3761264.57,WH-01,2025-07-31T23:31:00+08:00
PO-202507-000048-04,PO-202507-000048,4,MAT-0134,1401,1401,205.17,287443.17,WH-03,2025-07-11T23:31:00+08:00
PO-202604-000049-01,PO-202604-000049,1,MAT-0225,5423,2739,665.15,3607108.45,WH-06,2026-05-21T07:53:00+08:00
PO-202604-000049-02,PO-202604-000049,2,MAT-0140,11508,6459,135.22,1556111.76,WH-06,2026-05-07T07:53:00+08:00
PO-202604-000050-01,PO-202604-000050,1,MAT-0158,8353,3295,40.56,338797.68,WH-02,2026-05-07T08:12:00+08:00
