purchase_order_id,supplier_id,order_created_at,expected_arrival_at,purchase_status,currency,order_amount,payment_terms_days,buyer,line_count,updated_at
PO-202602-000001,SUP-012,2026-02-18T03:10:00+08:00,2026-02-25T03:10:00+08:00,draft,CNY,89992.32,15,战略采购组,1,2026-02-26T03:10:00+08:00
PO-202601-000002,SUP-022,2026-01-25T11:04:00+08:00,2026-01-30T11:04:00+08:00,received,CNY,12193164.2,90,采购二组,3,2026-02-24T11:04:00+08:00
PO-202511-000003,SUP-027,2025-11-11T14:34:00+08:00,2025-11-15T14:34:00+08:00,cancelled,CNY,5736564.19,30,采购二组,2,2025-12-14T14:34:00+08:00
PO-202511-000004,SUP-058,2025-11-01T10:03:00+08:00,2025-11-06T10:03:00+08:00,received,CNY,11533352.43,30,采购一组,4,2025-12-05T10:03:00+08:00
PO-202510-000005,SUP-001,2025-10-07T19:55:00+08:00,2025-10-12T19:55:00+08:00,received,CNY,2644065.35,45,采购一组,3,2025-10-22T19:55:00+08:00
PO-202512-000006,SUP-034,2025-12-02T03:32:00+08:00,2025-12-09T03:32:00+08:00,received,CNY,1036215.96,60,战略采购组,2,2025-12-17T03:32:00+08:00
PO-202605-000007,SUP-044,2026-05-13T03:32:00+08:00,2026-05-18T03:32:00+08:00,confirmed,CNY,12047185.67,45,采购一组,3,2026-06-04T03:32:00+08:00
PO-202605-000008,SUP-058,2026-05-11T08:13:00+08:00,2026-05-16T08:13:00+08:00,received,CNY,2024616.22,15,战略采购组,1,2026-06-15T08:00:00+08:00
PO-202509-000009,SUP-020,2025-09-19T00:48:00+08:00,2025-09-26T00:48:00+08:00,received,CNY,1782176.4,90,采购二组,1,2025-10-27T00:48:00+08:00
PO-202508-000010,SUP-041,2025-08-04T08:52:00+08:00,2025-08-08T08:52:00+08:00,delayed,CNY,4343655.98,90,采购一组,4,2025-09-09T08:52:00+08:00
PO-202511-000011,SUP-049,2025-11-19T05:45:00+08:00,2025-11-22T05:45:00+08:00,received,CNY,282561.29,30,采购二组,2,2025-12-16T05:45:00+08:00
PO-202604-000012,SUP-043,2026-04-21T20:00:00+08:00,2026-04-26T20:00:00+08:00,received,CNY,7903953.06,45,战略采购组,2,2026-04-29T20:00:00+08:00
PO-202512-000013,SUP-044,2025-12-30T01:06:00+08:00,2026-01-04T01:06:00+08:00,received,CNY,2104851.68,60,战略采购组,2,2026-01-01T01:06:00+08:00
PO-202509-000014,SUP-047,2025-09-08T06:33:00+08:00,2025-09-12T06:33:00+08:00,received,CNY,6823434.94,15,战略采购组,2,2025-10-03T06:33:00+08:00
PO-202602-000015,SUP-003,2026-02-12T23:56:00+08:00,2026-02-19T23:56:00+08:00,received,CNY,2630081.84,15,采购二组,4,2026-03-19T23:56:00+08:00
PO-202508-000016,SUP-051,2025-08-29T11:34:00+08:00,2025-09-03T11:34:00+08:00,in_transit,CNY,5885913.77,15,采购一组,3,2025-09-04T11:34:00+08:00
PO-202510-000017,SUP-058,2025-10-24T15:33:00+08:00,2025-10-31T15:33:00+08:00,in_transit,CNY,2207191.28,90,采购一组,3,2025-11-25T15:33:00+08:00
PO-202508-000018,SUP-025,2025-08-10T16:11:00+08:00,2025-08-15T16:11:00+08:00,draft,CNY,121626.36,15,采购一组,1,2025-09-08T16:11:00+08:00
PO-202507-000019,SUP-029,2025-07-26T16:23:00+08:00,2025-08-02T16:23:00+08:00,received,CNY,10312948.17,30,采购一组,4,2025-09-04T16:23:00+08:00
PO-202511-000020,SUP-002,2025-11-16T02:10:00+08:00,2025-11-23T02:10:00+08:00,in_transit,CNY,2997745.86,60,采购一组,2,2025-12-30T02:10:00+08:00
PO-202509-000021,SUP-050,2025-09-10T13:24:00+08:00,2025-09-17T13:24:00+08:00,in_transit,CNY,8301898.86,90,战略采购组,3,2025-10-17T13:24:00+08:00
PO-202508-000022,SUP-011,2025-08-23T05:07:00+08:00,2025-08-30T05:07:00+08:00,delayed,CNY,10599812.87,30,采购一组,4,2025-09-03T05:07:00+08:00
PO-202603-000023,SUP-004,2026-03-31T03:00:00+08:00,2026-04-07T03:00:00+08:00,received,CNY,6737665.7,15,战略采购组,3,2026-05-12T03:00:00+08:00
PO-202511-000024,SUP-036,2025-11-15T08:20:00+08:00,2025-11-20T08:20:00+08:00,received,CNY,8026731.84,90,采购二组,2,2025-11-30T08:20:00+08:00
PO-202507-000025,SUP-017,2025-07-02T18:12:00+08:00,2025-07-06T18:12:00+08:00,received,CNY,8151639.8,15,采购二组,3,2025-07-10T18:12:00+08:00
PO-202511-000026,SUP-037,2025-11-13T11:30:00+08:00,2025-11-17T11:30:00+08:00,received,CNY,1396000.47,15,采购一组,3,2025-11-15T11:30:00+08:00
PO-202509-000027,SUP-021,2025-09-26T21:24:00+08:00,2025-09-30T21:24:00+08:00,received,CNY,4209861.72,15,采购二组,3,2025-11-03T21:24:00+08:00
PO-202602-000028,SUP-045,2026-02-21T14:43:00+08:00,2026-02-28T14:43:00+08:00,received,CNY,1121467.01,15,采购二组,3,2026-03-03T14:43:00+08:00
PO-202605-000029,SUP-034,2026-05-26T02:31:00+08:00,2026-05-27T14:31:00+08:00,confirmed,CNY,2993381.88,30,采购二组,1,2026-06-15T08:00:00+08:00
PO-202606-000030,SUP-016,2026-06-07T07:08:00+08:00,2026-06-14T07:08:00+08:00,delayed,CNY,16631948.99,60,采购一组,4,2026-06-15T08:00:00+08:00
PO-202604-000031,SUP-056,2026-04-25T23:45:00+08:00,2026-05-02T23:45:00+08:00,delayed,CNY,8795131.61,15,采购一组,2,2026-06-01T23:45:00+08:00
PO-202602-000032,SUP-007,2026-02-10T17:51:00+08:00,2026-02-12T17:51:00+08:00,received,CNY,7456.68,45,战略采购组,1,2026-03-14T17:51:00+08:00
PO-202507-000033,SUP-050,2025-07-25T18:01:00+08:00,2025-07-30T18:01:00+08:00,confirmed,CNY,864829.38,15,采购二组,3,2025-08-26T18:01:00+08:00
PO-202510-000034,SUP-007,2025-10-15T20:28:00+08:00,2025-10-19T20:28:00+08:00,received,CNY,15338414.56,60,采购二组,4,2025-11-14T20:28:00+08:00
PO-202508-000035,SUP-041,2025-08-16T13:40:00+08:00,2025-08-20T13:40:00+08:00,in_transit,CNY,550221.85,30,采购二组,3,2025-09-30T13:40:00+08:00
PO-202507-000036,SUP-033,2025-07-03T19:39:00+08:00,2025-07-05T07:39:00+08:00,delayed,CNY,7503298.3,90,战略采购组,3,2025-07-20T19:39:00+08:00
PO-202510-000037,SUP-023,2025-10-27T07:12:00+08:00,2025-10-31T07:12:00+08:00,received,CNY,7635376.91,60,采购二组,2,2025-11-03T07:12:00+08:00
PO-202604-000038,SUP-060,2026-04-29T14:20:00+08:00,2026-05-03T14:20:00+08:00,received,CNY,19101586.51,45,采购一组,4,2026-05-31T14:20:00+08:00
PO-202512-000039,SUP-009,2025-12-29T03:40:00+08:00,2026-01-03T03:40:00+08:00,delayed,CNY,7275890.51,45,战略采购组,2,2026-01-17T03:40:00+08:00
PO-202602-000040,SUP-007,2026-02-16T09:20:00+08:00,2026-02-20T09:20:00+08:00,confirmed,CNY,9662680.4,15,采购二组,2,2026-03-01T09:20:00+08:00
PO-202601-000041,SUP-027,2026-01-23T05:03:00+08:00,2026-01-27T05:03:00+08:00,received,CNY,2636603.94,60,战略采购组,2,2026-02-08T05:03:00+08:00
PO-202512-000042,SUP-053,2025-12-26T11:37:00+08:00,2026-01-02T11:37:00+08:00,received,CNY,7045537.73,60,采购一组,3,2025-12-30T11:37:00+08:00
