inspection_id,supplier_id,material_id,purchase_order_id,inspected_qty,defect_qty,defect_rate,result,inspection_type,inspected_at,inspector
QI-0000001,SUP-019,MAT-0114,PO-202511-000607,2677,242,0.0904,fail,final,2026-02-13T20:00:00+08:00,质检员14
QI-0000002,SUP-052,MAT-0106,PO-202512-000662,1171,68,0.05807,fail,incoming,2025-06-25T06:00:00+08:00,质检员03
QI-0000003,SUP-040,MAT-0191,PO-202510-001578,2742,268,0.09774,fail,process,2025-11-19T22:00:00+08:00,质检员14
QI-0000004,SUP-042,MAT-0031,PO-202508-000747,307,8,0.02606,pass,incoming,2025-11-17T23:00:00+08:00,质检员17
QI-0000005,SUP-039,MAT-0022,PO-202512-000414,85,6,0.07059,fail,incoming,2026-06-01T23:00:00+08:00,质检员17
QI-0000006,SUP-004,MAT-0224,PO-202606-000614,2694,230,0.08537,fail,process,2025-12-22T17:00:00+08:00,质检员19
QI-0000007,SUP-017,MAT-0011,PO-202511-001148,2918,124,0.04249,fail,incoming,2026-02-19T22:00:00+08:00,质检员11
QI-0000008,SUP-029,MAT-0042,PO-202512-001187,4733,4,0.00085,pass,incoming,2026-01-20T01:00:00+08:00,质检员14
QI-0000009,SUP-044,MAT-0142,PO-202603-001494,2367,311,0.13139,fail,final,2025-09-05T12:00:00+08:00,质检员18
QI-0000010,SUP-021,MAT-0193,PO-202507-000463,2080,354,0.17019,fail,incoming,2025-07-12T00:00:00+08:00,质检员02
QI-0000011,SUP-045,MAT-0207,PO-202508-001799,4507,885,0.19636,fail,final,2026-01-13T17:00:00+08:00,质检员08
QI-0000012,SUP-003,MAT-0153,PO-202512-001264,3284,259,0.07887,fail,final,2025-11-17T03:00:00+08:00,质检员19
QI-0000013,SUP-041,MAT-0205,PO-202509-001119,3355,887,0.26438,fail,incoming,2026-03-25T05:00:00+08:00,质检员09
QI-0000014,SUP-009,MAT-0163,PO-202603-001082,1091,134,0.12282,fail,final,2026-05-19T14:00:00+08:00,质检员11
QI-0000015,SUP-003,MAT-0048,PO-202512-000414,232,6,0.02586,pass,incoming,2025-12-04T18:00:00+08:00,质检员08
QI-0000016,SUP-033,MAT-0095,PO-202605-001100,3857,295,0.07648,fail,incoming,2025-06-17T18:00:00+08:00,质检员15
QI-0000017,SUP-044,MAT-0084,PO-202508-001683,3360,315,0.09375,fail,incoming,2025-07-25T04:00:00+08:00,质检员10
QI-0000018,SUP-004,MAT-0030,PO-202603-000701,3183,291,0.09142,fail,incoming,2025-10-25T10:00:00+08:00,质检员14
QI-0000019,SUP-005,MAT-0065,PO-202601-001703,3462,436,0.12594,fail,incoming,2026-04-23T03:00:00+08:00,质检员16
QI-0000020,SUP-028,MAT-0043,PO-202604-000734,128,19,0.14844,fail,final,2025-09-09T05:00:00+08:00,质检员19
QI-0000021,SUP-024,MAT-0170,PO-202605-000946,1491,269,0.18042,fail,incoming,2025-12-23T18:00:00+08:00,质检员15
QI-0000022,SUP-005,MAT-0198,PO-202507-000229,3362,439,0.13058,fail,incoming,2025-11-17T04:00:00+08:00,质检员15
QI-0000023,SUP-019,MAT-0049,PO-202509-000608,1555,189,0.12154,fail,incoming,2026-01-23T11:00:00+08:00,质检员16
QI-0000024,SUP-037,MAT-0013,PO-202507-001491,1680,338,0.20119,fail,incoming,2025-06-28T06:00:00+08:00,质检员20
QI-0000025,SUP-044,MAT-0150,PO-202512-001734,2810,305,0.10854,fail,process,2026-02-13T14:00:00+08:00,质检员15
QI-0000026,SUP-018,MAT-0199,PO-202510-000415,4014,0,0.0,pass,final,2026-03-04T02:00:00+08:00,质检员01
QI-0000027,SUP-002,MAT-0226,PO-202507-000356,3943,735,0.18641,fail,final,2026-02-10T19:00:00+08:00,质检员12
QI-0000028,SUP-058,MAT-0107,PO-202511-001472,3794,409,0.1078,fail,incoming,2025-11-12T19:00:00+08:00,质检员04
QI-0000029,SUP-054,MAT-0162,PO-202508-001356,81,2,0.02469,pass,final,2025-07-24T18:00:00+08:00,质检员03
QI-0000030,SUP-034,MAT-0085,PO-202508-001179,2755,536,0.19456,fail,process,2025-08-01T12:00:00+08:00,质检员12
QI-0000031,SUP-032,MAT-0238,PO-202508-000517,1976,282,0.14271,fail,final,2026-05-13T01:00:00+08:00,质检员20
QI-0000032,SUP-047,MAT-0236,PO-202506-001232,1659,325,0.1959,fail,incoming,2026-02-21T19:00:00+08:00,质检员01
QI-0000033,SUP-033,MAT-0131,PO-202507-000140,2001,90,0.04498,fail,process,2026-06-09T12:00:00+08:00,质检员14
QI-0000034,SUP-030,MAT-0211,PO-202510-001728,174,0,0.0,pass,final,2025-09-26T23:00:00+08:00,质检员13
QI-0000035,SUP-054,MAT-0219,PO-202510-000254,834,22,0.02638,pass,incoming,2025-07-08T03:00:00+08:00,质检员11
QI-0000036,SUP-003,MAT-0172,PO-202603-000103,258,22,0.08527,fail,incoming,2026-05-02T01:00:00+08:00,质检员15
QI-0000037,SUP-009,MAT-0169,PO-202511-000088,4859,401,0.08253,fail,process,2025-12-24T10:00:00+08:00,质检员11
QI-0000038,SUP-014,MAT-0069,PO-202603-000980,4772,263,0.05511,fail,incoming,2026-02-01T02:00:00+08:00,质检员10
QI-0000039,SUP-005,MAT-0146,PO-202606-001544,3446,541,0.15699,fail,incoming,2026-05-12T07:00:00+08:00,质检员11
QI-0000040,SUP-022,MAT-0214,PO-202507-000994,1559,86,0.05516,fail,process,2025-07-05T19:00:00+08:00,质检员12
QI-0000041,SUP-022,MAT-0074,PO-202508-001766,1613,155,0.09609,fail,final,2026-03-11T00:00:00+08:00,质检员12
QI-0000042,SUP-028,MAT-0236,PO-202604-000713,2578,348,0.13499,fail,process,2026-01-30T11:00:00+08:00,质检员02
QI-0000043,SUP-031,MAT-0004,PO-202510-001616,2569,535,0.20825,fail,incoming,2025-06-20T07:00:00+08:00,质检员11
QI-0000044,SUP-039,MAT-0052,PO-202509-001604,2955,190,0.0643,fail,incoming,2025-09-20T18:00:00+08:00,质检员17
QI-0000045,SUP-005,MAT-0152,PO-202604-000790,4313,580,0.13448,fail,process,2026-06-07T16:00:00+08:00,质检员08
QI-0000046,SUP-024,MAT-0170,PO-202508-001522,1056,207,0.19602,fail,final,2025-11-14T00:00:00+08:00,质检员08
QI-0000047,SUP-022,MAT-0214,PO-202510-000796,1330,75,0.05639,fail,incoming,2025-12-01T03:00:00+08:00,质检员05
QI-0000048,SUP-022,MAT-0106,PO-202510-000830,3216,236,0.07338,fail,final,2026-03-24T04:00:00+08:00,质检员13
QI-0000049,SUP-022,MAT-0221,PO-202606-000130,2388,177,0.07412,fail,incoming,2026-01-19T02:00:00+08:00,质检员03
QI-0000050,SUP-030,MAT-0186,PO-202508-001027,1143,0,0.0,pass,final,2025-06-16T23:00:00+08:00,质检员09
QI-0000051,SUP-034,MAT-0085,PO-202508-001666,4790,933,0.19478,fail,final,2025-09-29T16:00:00+08:00,质检员16
QI-0000052,SUP-033,MAT-0195,PO-202507-000826,368,19,0.05163,fail,incoming,2025-07-14T06:00:00+08:00,质检员15
QI-0000053,SUP-016,MAT-0130,PO-202508-001799,4788,555,0.11591,fail,final,2025-09-16T01:00:00+08:00,质检员01
QI-0000054,SUP-035,MAT-0217,PO-202509-000397,943,96,0.1018,fail,incoming,2025-07-29T19:00:00+08:00,质检员10
QI-0000055,SUP-025,MAT-0076,PO-202508-001177,4830,950,0.19669,fail,process,2026-01-10T08:00:00+08:00,质检员02
QI-0000056,SUP-059,MAT-0027,PO-202510-001433,4517,254,0.05623,fail,incoming,2025-08-19T18:00:00+08:00,质检员01
QI-0000057,SUP-041,MAT-0096,PO-202606-001120,2211,561,0.25373,fail,final,2025-12-10T00:00:00+08:00,质检员08
QI-0000058,SUP-024,MAT-0013,PO-202602-001772,1673,327,0.19546,fail,final,2026-02-24T14:00:00+08:00,质检员14
QI-0000059,SUP-046,MAT-0025,PO-202509-000380,926,85,0.09179,fail,process,2025-11-22T05:00:00+08:00,质检员07
QI-0000060,SUP-016,MAT-0085,PO-202506-000563,1061,95,0.08954,fail,process,2025-09-24T07:00:00+08:00,质检员09
QI-0000061,SUP-008,MAT-0216,PO-202511-000026,4503,994,0.22074,fail,final,2025-06-23T09:00:00+08:00,质检员10
QI-0000062,SUP-005,MAT-0021,PO-202602-000716,953,130,0.13641,fail,final,2025-10-24T17:00:00+08:00,质检员12
QI-0000063,SUP-041,MAT-0016,PO-202602-000452,1148,236,0.20557,fail,incoming,2026-04-04T13:00:00+08:00,质检员11
QI-0000064,SUP-036,MAT-0117,PO-202507-000663,1416,199,0.14054,fail,incoming,2025-12-21T22:00:00+08:00,质检员08
QI-0000065,SUP-031,MAT-0066,PO-202601-001022,3424,764,0.22313,fail,final,2025-08-10T08:00:00+08:00,质检员15
QI-0000066,SUP-047,MAT-0236,PO-202604-000734,3932,820,0.20855,fail,incoming,2025-09-13T04:00:00+08:00,质检员07
QI-0000067,SUP-031,MAT-0004,PO-202511-000712,4149,938,0.22608,fail,final,2026-02-26T01:00:00+08:00,质检员05
QI-0000068,SUP-015,MAT-0092,PO-202512-001698,2338,481,0.20573,fail,process,2025-08-19T02:00:00+08:00,质检员02
QI-0000069,SUP-023,MAT-0159,PO-202508-001197,2101,144,0.06854,fail,final,2025-07-25T07:00:00+08:00,质检员07
QI-0000070,SUP-039,MAT-0219,PO-202509-001604,4918,323,0.06568,fail,process,2026-03-30T21:00:00+08:00,质检员19
QI-0000071,SUP-035,MAT-0217,PO-202510-000164,1438,137,0.09527,fail,final,2025-06-22T22:00:00+08:00,质检员15
QI-0000072,SUP-060,MAT-0111,PO-202507-001599,2868,145,0.05056,fail,final,2026-04-18T06:00:00+08:00,质检员14
QI-0000073,SUP-011,MAT-0130,PO-202509-001125,2997,216,0.07207,fail,process,2025-08-03T00:00:00+08:00,质检员11
QI-0000074,SUP-031,MAT-0073,PO-202508-001766,1419,285,0.20085,fail,final,2026-01-23T00:00:00+08:00,质检员07
