sales_order_line_id,sales_order_id,line_no,material_id,warehouse_id,ordered_qty,allocated_qty,shipped_qty,unit_price,line_amount,requested_delivery_at,updated_at
SO-202509-000001-01,SO-202509-000001,1,MAT-0018,WH-01,2259,1088,580,41.22,93119.07,2025-09-25T15:10:00+08:00,2025-10-06T15:10:00+08:00
SO-202509-000001-02,SO-202509-000001,2,MAT-0138,WH-06,25,24,12,269.05,6726.16,2025-09-25T15:10:00+08:00,2025-09-26T15:10:00+08:00
SO-202602-000002-01,SO-202602-000002,1,MAT-0007,WH-04,2084,2084,2084,1986.62,4140121.31,2026-02-06T07:00:00+08:00,2026-03-04T07:00:00+08:00
SO-202602-000002-02,SO-202602-000002,2,MAT-0058,WH-06,483,483,483,791.78,382431.39,2026-02-06T07:00:00+08:00,2026-02-03T07:00:00+08:00
SO-202506-000003-01,SO-202506-000003,1,MAT-0114,WH-02,3511,3511,1856,326.71,1147089.18,2025-06-27T11:34:00+08:00,2025-07-03T11:34:00+08:00
SO-202506-000003-02,SO-202506-000003,2,MAT-0233,WH-06,1152,1152,872,43.68,50317.84,2025-06-27T11:34:00+08:00,2025-07-01T11:34:00+08:00
SO-202506-000003-03,SO-202506-000003,3,MAT-0160,WH-02,4012,4012,2479,471.43,1891385.94,2025-06-27T11:34:00+08:00,2025-07-03T11:34:00+08:00
SO-202507-000004-01,SO-202507-000004,1,MAT-0051,WH-01,2792,2792,185,83.28,232530.4,2025-07-27T10:11:00+08:00,2025-07-31T10:11:00+08:00
SO-202507-000004-02,SO-202507-000004,2,MAT-0158,WH-03,788,788,200,56.0,44129.43,2025-07-27T10:11:00+08:00,2025-07-28T10:11:00+08:00
SO-202507-000004-03,SO-202507-000004,3,MAT-0110,WH-01,1918,1918,906,21.53,41301.71,2025-07-27T10:11:00+08:00,2025-08-23T10:11:00+08:00
SO-202507-000004-04,SO-202507-000004,4,MAT-0169,WH-06,3983,3983,2281,59.29,236146.77,2025-07-27T10:11:00+08:00,2025-08-21T10:11:00+08:00
SO-202603-000005-01,SO-202603-000005,1,MAT-0022,WH-02,1079,911,699,118.81,128198.89,2026-03-16T00:42:00+08:00,2026-03-23T00:42:00+08:00
SO-202603-000005-02,SO-202603-000005,2,MAT-0230,WH-06,2951,852,955,1179.56,3480892.03,2026-03-16T00:42:00+08:00,2026-04-06T00:42:00+08:00
SO-202603-000005-03,SO-202603-000005,3,MAT-0106,WH-06,4071,2057,1757,1133.37,4613929.74,2026-03-16T00:42:00+08:00,2026-03-27T00:42:00+08:00
SO-202603-000005-04,SO-202603-000005,4,MAT-0111,WH-03,2100,1703,1613,59.05,124001.28,2026-03-16T00:42:00+08:00,2026-03-13T00:42:00+08:00
SO-202603-000005-05,SO-202603-000005,5,MAT-0003,WH-05,4448,1460,1349,543.01,2415313.75,2026-03-16T00:42:00+08:00,2026-03-31T00:42:00+08:00
SO-202510-000006-01,SO-202510-000006,1,MAT-0174,WH-04,151,151,151,7.96,1202.53,2025-11-01T17:39:00+08:00,2025-11-14T17:39:00+08:00
SO-202510-000006-02,SO-202510-000006,2,MAT-0085,WH-01,1030,1030,1030,743.17,765467.96,2025-11-01T17:39:00+08:00,2025-11-25T17:39:00+08:00
SO-202510-000006-03,SO-202510-000006,3,MAT-0180,WH-01,570,570,570,233.2,132925.64,2025-11-01T17:39:00+08:00,2025-11-27T17:39:00+08:00
SO-202510-000006-04,SO-202510-000006,4,MAT-0120,WH-05,4069,4069,4069,20.6,83826.18,2025-11-01T17:39:00+08:00,2025-10-30T17:39:00+08:00
SO-202510-000006-05,SO-202510-000006,5,MAT-0098,WH-03,2467,2467,2467,117.85,290734.88,2025-11-01T17:39:00+08:00,2025-11-20T17:39:00+08:00
SO-202604-000007-01,SO-202604-000007,1,MAT-0147,WH-02,1204,1204,1204,951.83,1145999.5,2026-04-21T10:33:00+08:00,2026-04-21T10:33:00+08:00
SO-202604-000007-02,SO-202604-000007,2,MAT-0172,WH-06,793,793,793,734.1,582140.3,2026-04-21T10:33:00+08:00,2026-04-21T10:33:00+08:00
SO-202606-000008-01,SO-202606-000008,1,MAT-0231,WH-06,801,566,687,459.36,367950.44,2026-06-08T23:22:00+08:00,2026-06-15T08:00:00+08:00
SO-202508-000009-01,SO-202508-000009,1,MAT-0011,WH-04,4009,4009,775,10.67,42768.98,2025-08-20T11:19:00+08:00,2025-08-26T11:19:00+08:00
SO-202508-000009-02,SO-202508-000009,2,MAT-0169,WH-02,3996,3996,1077,63.81,254993.49,2025-08-20T11:19:00+08:00,2025-08-19T11:19:00+08:00
SO-202601-000010-01,SO-202601-000010,1,MAT-0002,WH-06,1175,542,1024,1587.54,1865358.84,2026-01-17T04:17:00+08:00,2026-01-28T04:17:00+08:00
SO-202601-000010-02,SO-202601-000010,2,MAT-0017,WH-05,3645,2321,1679,111.59,406738.44,2026-01-17T04:17:00+08:00,2026-01-28T04:17:00+08:00
SO-202601-000010-03,SO-202601-000010,3,MAT-0064,WH-05,905,759,113,168.09,152120.51,2026-01-17T04:17:00+08:00,2026-01-20T04:17:00+08:00
SO-202512-000011-01,SO-202512-000011,1,MAT-0051,WH-04,3952,3172,809,83.15,328616.28,2025-12-23T14:56:00+08:00,2025-12-27T14:56:00+08:00
SO-202512-000011-02,SO-202512-000011,2,MAT-0155,WH-03,1494,847,1010,125.24,187103.95,2025-12-23T14:56:00+08:00,2026-01-18T14:56:00+08:00
SO-202512-000011-03,SO-202512-000011,3,MAT-0231,WH-05,891,319,615,409.99,365303.78,2025-12-23T14:56:00+08:00,2026-01-15T14:56:00+08:00
SO-202512-000012-01,SO-202512-000012,1,MAT-0014,WH-04,2766,1055,1613,441.29,1220620.68,2025-12-10T19:55:00+08:00,2025-12-12T19:55:00+08:00
SO-202512-000012-02,SO-202512-000012,2,MAT-0154,WH-03,772,518,487,121.11,93495.5,2025-12-10T19:55:00+08:00,2025-12-17T19:55:00+08:00
SO-202509-000013-01,SO-202509-000013,1,MAT-0135,WH-04,257,257,257,60.5,15549.13,2025-10-03T17:21:00+08:00,2025-10-05T17:21:00+08:00
SO-202605-000014-01,SO-202605-000014,1,MAT-0063,WH-06,991,991,991,141.81,140530.92,2026-05-10T02:18:00+08:00,2026-05-10T02:18:00+08:00
SO-202511-000015-01,SO-202511-000015,1,MAT-0071,WH-01,2776,2776,2776,44.1,122412.17,2025-11-09T11:55:00+08:00,2025-11-11T11:55:00+08:00
SO-202511-000015-02,SO-202511-000015,2,MAT-0207,WH-01,320,320,320,385.09,123229.45,2025-11-09T11:55:00+08:00,2025-11-12T11:55:00+08:00
SO-202511-000015-03,SO-202511-000015,3,MAT-0225,WH-02,2830,2830,2830,839.88,2376870.85,2025-11-09T11:55:00+08:00,2025-11-13T11:55:00+08:00
SO-202511-000016-01,SO-202511-000016,1,MAT-0024,WH-05,3813,2362,2270,22.67,86449.18,2025-11-19T17:40:00+08:00,2025-11-18T17:40:00+08:00
SO-202511-000016-02,SO-202511-000016,2,MAT-0230,WH-01,3524,911,1142,1242.96,4380202.09,2025-11-19T17:40:00+08:00,2025-12-01T17:40:00+08:00
SO-202511-000016-03,SO-202511-000016,3,MAT-0028,WH-06,2363,2181,108,1755.75,4148825.81,2025-11-19T17:40:00+08:00,2025-11-28T17:40:00+08:00
SO-202511-000016-04,SO-202511-000016,4,MAT-0191,WH-01,3342,1036,1201,506.37,1692277.07,2025-11-19T17:40:00+08:00,2025-11-18T17:40:00+08:00
SO-202511-000016-05,SO-202511-000016,5,MAT-0077,WH-04,2101,698,390,8.4,17656.22,2025-11-19T17:40:00+08:00,2025-12-15T17:40:00+08:00
SO-202508-000017-01,SO-202508-000017,1,MAT-0034,WH-04,2767,2767,2767,63.94,176913.94,2025-09-03T00:52:00+08:00,2025-09-24T00:52:00+08:00
SO-202508-000017-02,SO-202508-000017,2,MAT-0148,WH-02,2413,2413,2413,10.11,24406.48,2025-09-03T00:52:00+08:00,2025-09-05T00:52:00+08:00
SO-202508-000017-03,SO-202508-000017,3,MAT-0170,WH-02,3408,3408,3408,299.8,1021734.33,2025-09-03T00:52:00+08:00,2025-09-14T00:52:00+08:00
SO-202605-000018-01,SO-202605-000018,1,MAT-0074,WH-06,2383,2383,2383,28.28,67388.85,2026-05-08T01:26:00+08:00,2026-05-06T01:26:00+08:00
SO-202605-000018-02,SO-202605-000018,2,MAT-0030,WH-01,3073,3073,3073,30.93,95034.24,2026-05-08T01:26:00+08:00,2026-05-27T01:26:00+08:00
SO-202511-000019-01,SO-202511-000019,1,MAT-0128,WH-04,3455,3455,870,73.97,255550.93,2025-11-07T00:25:00+08:00,2025-11-27T00:25:00+08:00
SO-202511-000019-02,SO-202511-000019,2,MAT-0150,WH-01,1129,1129,22,26.29,29677.08,2025-11-07T00:25:00+08:00,2025-11-20T00:25:00+08:00
SO-202511-000019-03,SO-202511-000019,3,MAT-0010,WH-02,626,626,470,1087.56,680809.84,2025-11-07T00:25:00+08:00,2025-11-22T00:25:00+08:00
SO-202511-000019-04,SO-202511-000019,4,MAT-0064,WH-03,1633,1633,912,169.18,276273.7,2025-11-07T00:25:00+08:00,2025-11-17T00:25:00+08:00
SO-202511-000019-05,SO-202511-000019,5,MAT-0212,WH-04,4412,4412,40,576.8,2544859.75,2025-11-07T00:25:00+08:00,2025-11-24T00:25:00+08:00
SO-202509-000020-01,SO-202509-000020,1,MAT-0114,WH-06,2929,2929,2929,346.29,1014277.06,2025-09-30T17:30:00+08:00,2025-10-08T17:30:00+08:00
SO-202509-000020-02,SO-202509-000020,2,MAT-0123,WH-06,494,494,494,173.02,85474.1,2025-09-30T17:30:00+08:00,2025-10-26T17:30:00+08:00
SO-202509-000020-03,SO-202509-000020,3,MAT-0154,WH-04,1267,1267,1267,117.61,149008.46,2025-09-30T17:30:00+08:00,2025-10-13T17:30:00+08:00
SO-202605-000021-01,SO-202605-000021,1,MAT-0210,WH-01,4309,4019,722,108.03,465501.45,2026-05-28T08:58:00+08:00,2026-05-30T08:58:00+08:00
SO-202605-000021-02,SO-202605-000021,2,MAT-0176,WH-04,3848,3668,1622,1560.81,6005978.32,2026-05-28T08:58:00+08:00,2026-06-15T08:00:00+08:00
SO-202605-000021-03,SO-202605-000021,3,MAT-0163,WH-05,3687,3205,2064,879.29,3241938.24,2026-05-28T08:58:00+08:00,2026-05-28T08:58:00+08:00
SO-202605-000021-04,SO-202605-000021,4,MAT-0190,WH-06,4342,1902,3093,264.73,1149471.52,2026-05-28T08:58:00+08:00,2026-06-11T08:58:00+08:00
SO-202605-000021-05,SO-202605-000021,5,MAT-0201,WH-04,1522,390,585,633.22,963761.17,2026-05-28T08:58:00+08:00,2026-06-15T08:00:00+08:00
SO-202512-000022-01,SO-202512-000022,1,MAT-0050,WH-06,3508,3508,3014,790.25,2772202.26,2025-12-25T17:07:00+08:00,2025-12-29T17:07:00+08:00
SO-202512-000022-02,SO-202512-000022,2,MAT-0194,WH-06,1387,1387,16,18.99,26341.27,2025-12-25T17:07:00+08:00,2026-01-15T17:07:00+08:00
SO-202512-000022-03,SO-202512-000022,3,MAT-0031,WH-06,1992,1992,1258,975.58,1943361.81,2025-12-25T17:07:00+08:00,2026-01-20T17:07:00+08:00
