shipment_id,purchase_order_id,supplier_id,transport_mode,carrier,origin,destination_warehouse_id,planned_arrival_at,estimated_arrival_at,delay_hours,shipment_status,tracking_number,freight_cost,updated_at
SHP-0000001,PO-202601-000668,SUP-012,rail,承运商20,成都,WH-06,2026-01-25T18:01:00+08:00,2026-01-25T18:01:00+08:00,0,delayed,CG000000000001,20953.37,2026-06-15T02:08:00+08:00
SHP-0000002,PO-202508-000535,SUP-027,air,承运商23,天津,WH-05,2025-08-31T04:06:00+08:00,2025-08-31T04:06:00+08:00,0,delivered,CG000000000002,161444.02,2026-06-15T00:26:00+08:00
SHP-0000003,PO-202508-001269,SUP-013,sea,承运商16,武汉,WH-05,2025-08-28T16:50:00+08:00,2025-08-28T16:50:00+08:00,0,in_transit,CG000000000003,53101.21,2026-06-15T02:24:00+08:00
SHP-0000004,PO-202605-001506,SUP-009,rail,承运商09,苏州,WH-04,2026-05-16T22:00:00+08:00,2026-05-17T22:00:00+08:00,24,in_transit,CG000000000004,26765.49,2026-06-14T20:30:00+08:00
SHP-0000005,PO-202601-000801,SUP-027,air,承运商17,宁波,WH-01,2026-01-17T22:24:00+08:00,2026-01-20T22:24:00+08:00,72,delivered,CG000000000005,82382.16,2026-06-14T11:13:00+08:00
SHP-0000006,PO-202509-001154,SUP-022,air,承运商08,武汉,WH-04,2025-09-24T23:21:00+08:00,2025-09-24T23:21:00+08:00,0,delivered,CG000000000006,104011.33,2026-06-14T10:38:00+08:00
SHP-0000007,PO-202511-001481,SUP-026,road,承运商03,苏州,WH-06,2025-11-16T03:21:00+08:00,2025-11-18T03:21:00+08:00,48,delivered,CG000000000007,12436.5,2026-06-14T17:09:00+08:00
SHP-0000008,PO-202604-000372,SUP-049,road,承运商01,宁波,WH-02,2026-05-03T15:27:00+08:00,2026-05-03T15:27:00+08:00,0,delivered,CG000000000008,9627.11,2026-06-14T11:30:00+08:00
SHP-0000009,PO-202604-001725,SUP-038,rail,承运商06,青岛,WH-04,2026-05-02T21:16:00+08:00,2026-05-02T21:16:00+08:00,0,delivered,CG000000000009,53960.24,2026-06-15T04:57:00+08:00
SHP-0000010,PO-202509-001784,SUP-029,sea,承运商22,杭州,WH-01,2025-09-14T10:11:00+08:00,2025-09-15T10:11:00+08:00,24,in_transit,CG000000000010,61839.06,2026-06-14T14:14:00+08:00
SHP-0000011,PO-202511-001302,SUP-047,rail,承运商11,合肥,WH-05,2025-11-23T02:10:00+08:00,2025-11-23T02:10:00+08:00,0,delivered,CG000000000011,32855.98,2026-06-14T11:47:00+08:00
SHP-0000012,PO-202512-000703,SUP-020,road,承运商13,合肥,WH-06,2025-12-22T23:00:00+08:00,2025-12-22T23:00:00+08:00,0,in_transit,CG000000000012,33587.79,2026-06-14T10:58:00+08:00
SHP-0000013,PO-202602-001253,SUP-035,road,承运商20,武汉,WH-05,2026-02-14T12:49:00+08:00,2026-02-16T12:49:00+08:00,48,customs_hold,CG000000000013,24063.79,2026-06-14T11:54:00+08:00
SHP-0000014,PO-202605-000223,SUP-001,sea,承运商24,合肥,WH-04,2026-05-07T03:00:00+08:00,2026-05-10T03:00:00+08:00,72,delivered,CG000000000014,53670.54,2026-06-14T15:07:00+08:00
SHP-0000015,PO-202508-001492,SUP-051,road,承运商11,武汉,WH-01,2025-08-09T08:04:00+08:00,2025-08-09T20:04:00+08:00,12,in_transit,CG000000000015,11575.11,2026-06-14T17:02:00+08:00
SHP-0000016,PO-202606-000911,SUP-009,road,承运商14,合肥,WH-05,2026-06-04T16:57:00+08:00,2026-06-04T16:57:00+08:00,0,delayed,CG000000000016,62666.28,2026-06-14T09:19:00+08:00
SHP-0000017,PO-202603-000564,SUP-046,air,承运商13,青岛,WH-01,2026-03-26T08:20:00+08:00,2026-03-26T08:20:00+08:00,0,delivered,CG000000000017,112869.28,2026-06-14T22:41:00+08:00
SHP-0000018,PO-202601-000116,SUP-038,road,承运商17,青岛,WH-02,2026-01-14T17:49:00+08:00,2026-01-14T17:49:00+08:00,0,delivered,CG000000000018,12183.72,2026-06-14T19:07:00+08:00
