supplier_id,supplier_name,region,supplier_tier,reliability_score,quality_score,financial_risk,contact_name,contact_phone,status,updated_at
SUP-001,上海协同供应商001,上海,approved,84.3,80.7,low,供应商联系人001,13800000001,active,2026-05-25T08:00:00+08:00
SUP-002,苏州协同供应商002,苏州,strategic,88.8,84.4,low,供应商联系人002,13800000002,active,2026-05-24T08:00:00+08:00
SUP-003,宁波协同供应商003,宁波,approved,82.0,94.2,medium,供应商联系人003,13800000003,active,2026-05-24T08:00:00+08:00
SUP-004,杭州协同供应商004,杭州,approved,73.4,91.6,low,供应商联系人004,13800000004,watchlist,2026-05-23T08:00:00+08:00
SUP-005,合肥协同供应商005,合肥,preferred,96.0,85.5,low,供应商联系人005,13800000005,active,2026-06-05T08:00:00+08:00
SUP-006,武汉协同供应商006,武汉,approved,86.9,78.7,low,供应商联系人006,13800000006,active,2026-05-31T08:00:00+08:00
SUP-007,东莞协同供应商007,东莞,strategic,96.1,90.5,low,供应商联系人007,13800000007,active,2026-06-10T08:00:00+08:00
SUP-008,成都协同供应商008,成都,preferred,88.6,79.2,low,供应商联系人008,13800000008,active,2026-05-16T08:00:00+08:00
SUP-009,青岛协同供应商009,青岛,strategic,79.7,89.4,low,供应商联系人009,13800000009,active,2026-06-11T08:00:00+08:00
SUP-010,天津协同供应商010,天津,preferred,91.0,85.7,low,供应商联系人010,13800000010,active,2026-05-30T08:00:00+08:00
SUP-011,上海协同供应商011,上海,approved,90.8,92.3,low,供应商联系人011,13800000011,active,2026-06-15T08:00:00+08:00
SUP-012,苏州协同供应商012,苏州,approved,92.6,85.7,medium,供应商联系人012,13800000012,active,2026-05-31T08:00:00+08:00
SUP-013,宁波协同供应商013,宁波,approved,85.3,84.4,medium,供应商联系人013,13800000013,active,2026-05-20T08:00:00+08:00
SUP-014,杭州协同供应商014,杭州,preferred,93.1,97.3,low,供应商联系人014,13800000014,active,2026-05-18T08:00:00+08:00
SUP-015,合肥协同供应商015,合肥,preferred,77.4,81.5,low,供应商联系人015,13800000015,active,2026-05-27T08:00:00+08:00
SUP-016,武汉协同供应商016,武汉,approved,74.2,88.8,high,供应商联系人016,13800000016,watchlist,2026-05-29T08:00:00+08:00
SUP-017,东莞协同供应商017,东莞,approved,86.0,97.2,low,供应商联系人017,13800000017,active,2026-05-30T08:00:00+08:00
SUP-018,成都协同供应商018,成都,preferred,72.9,97.9,medium,供应商联系人018,13800000018,watchlist,2026-05-27T08:00:00+08:00
