event_id,event_type,severity,risk_score,affected_material_id,started_at,estimated_delay_hours
CAL-EVT-000,supply_disruption,high,70.0,CAL-MAT-000,2026-07-01T08:00:00+00:00,40.0
CAL-EVT-001,supply_disruption,high,73.0,CAL-MAT-001,2026-07-02T08:00:00+00:00,44.0
CAL-EVT-002,supply_disruption,high,76.0,CAL-MAT-002,2026-07-03T08:00:00+00:00,48.0
CAL-EVT-003,supply_disruption,high,79.0,CAL-MAT-003,2026-07-04T08:00:00+00:00,52.0
CAL-EVT-004,supply_disruption,high,32.0,CAL-MAT-004,2026-07-05T08:00:00+00:00,14.0
CAL-EVT-005,supply_disruption,high,85.0,CAL-MAT-005,2026-07-06T08:00:00+00:00,60.0
CAL-EVT-006,supply_disruption,high,88.0,CAL-MAT-006,2026-07-07T08:00:00+00:00,40.0
CAL-EVT-007,supply_disruption,high,70.0,CAL-MAT-007,2026-07-08T08:00:00+00:00,44.0
CAL-EVT-008,supply_disruption,high,73.0,CAL-MAT-008,2026-07-09T08:00:00+00:00,48.0
CAL-EVT-009,supply_disruption,high,26.0,CAL-MAT-009,2026-07-10T08:00:00+00:00,12.0
CAL-EVT-010,supply_disruption,high,79.0,CAL-MAT-010,2026-07-11T08:00:00+00:00,56.0
CAL-EVT-011,supply_disruption,high,82.0,CAL-MAT-011,2026-07-12T08:00:00+00:00,60.0
CAL-EVT-012,supply_disruption,high,85.0,CAL-MAT-012,2026-07-13T08:00:00+00:00,40.0
CAL-EVT-013,supply_disruption,high,88.0,CAL-MAT-013,2026-07-14T08:00:00+00:00,44.0
CAL-EVT-014,supply_disruption,high,20.0,CAL-MAT-014,2026-07-15T08:00:00+00:00,10.0
CAL-EVT-015,supply_disruption,high,73.0,CAL-MAT-015,2026-07-16T08:00:00+00:00,52.0
CAL-EVT-016,supply_disruption,high,76.0,CAL-MAT-016,2026-07-17T08:00:00+00:00,56.0
CAL-EVT-017,supply_disruption,high,79.0,CAL-MAT-017,2026-07-18T08:00:00+00:00,60.0
CAL-EVT-018,supply_disruption,high,82.0,CAL-MAT-018,2026-07-19T08:00:00+00:00,40.0
CAL-EVT-019,supply_disruption,high,35.0,CAL-MAT-019,2026-07-20T08:00:00+00:00,8.0
CAL-EVT-020,supply_disruption,high,88.0,CAL-MAT-020,2026-07-21T08:00:00+00:00,48.0
CAL-EVT-021,supply_disruption,high,70.0,CAL-MAT-021,2026-07-22T08:00:00+00:00,52.0
CAL-EVT-022,supply_disruption,high,73.0,CAL-MAT-022,2026-07-23T08:00:00+00:00,56.0
CAL-EVT-023,supply_disruption,high,76.0,CAL-MAT-023,2026-07-24T08:00:00+00:00,60.0
CAL-EVT-024,supply_disruption,high,29.0,CAL-MAT-024,2026-07-25T08:00:00+00:00,6.0
CAL-EVT-025,supply_disruption,high,82.0,CAL-MAT-025,2026-07-26T08:00:00+00:00,44.0
CAL-EVT-026,supply_disruption,high,85.0,CAL-MAT-026,2026-07-27T08:00:00+00:00,48.0
CAL-EVT-027,supply_disruption,high,88.0,CAL-MAT-027,2026-07-28T08:00:00+00:00,52.0
CAL-EVT-028,supply_disruption,high,70.0,CAL-MAT-028,2026-07-01T08:00:00+00:00,56.0
CAL-EVT-029,supply_disruption,high,23.0,CAL-MAT-029,2026-07-02T08:00:00+00:00,16.0
CAL-EVT-030,supply_disruption,high,76.0,CAL-MAT-030,2026-07-03T08:00:00+00:00,40.0
CAL-EVT-031,supply_disruption,high,79.0,CAL-MAT-031,2026-07-04T08:00:00+00:00,44.0
CAL-EVT-032,supply_disruption,high,82.0,CAL-MAT-032,2026-07-05T08:00:00+00:00,48.0
CAL-EVT-033,supply_disruption,high,85.0,CAL-MAT-033,2026-07-06T08:00:00+00:00,52.0
CAL-EVT-034,supply_disruption,high,38.0,CAL-MAT-034,2026-07-07T08:00:00+00:00,14.0
CAL-EVT-035,supply_disruption,high,70.0,CAL-MAT-035,2026-07-08T08:00:00+00:00,60.0
CAL-EVT-036,supply_disruption,high,73.0,CAL-MAT-036,2026-07-09T08:00:00+00:00,40.0
CAL-EVT-037,supply_disruption,high,76.0,CAL-MAT-037,2026-07-10T08:00:00+00:00,44.0
CAL-EVT-038,supply_disruption,high,79.0,CAL-MAT-038,2026-07-11T08:00:00+00:00,48.0
CAL-EVT-039,supply_disruption,high,32.0,CAL-MAT-039,2026-07-12T08:00:00+00:00,12.0
CAL-EVT-040,supply_disruption,high,85.0,CAL-MAT-040,2026-07-13T08:00:00+00:00,56.0
CAL-EVT-041,supply_disruption,high,88.0,CAL-MAT-041,2026-07-14T08:00:00+00:00,60.0
CAL-EVT-042,supply_disruption,high,70.0,CAL-MAT-042,2026-07-15T08:00:00+00:00,40.0
CAL-EVT-043,supply_disruption,high,73.0,CAL-MAT-043,2026-07-16T08:00:00+00:00,44.0
CAL-EVT-044,supply_disruption,high,26.0,CAL-MAT-044,2026-07-17T08:00:00+00:00,10.0
CAL-EVT-045,supply_disruption,high,79.0,CAL-MAT-045,2026-07-18T08:00:00+00:00,52.0
CAL-EVT-046,supply_disruption,high,82.0,CAL-MAT-046,2026-07-19T08:00:00+00:00,56.0
CAL-EVT-047,supply_disruption,high,85.0,CAL-MAT-047,2026-07-20T08:00:00+00:00,60.0
CAL-EVT-048,supply_disruption,high,88.0,CAL-MAT-048,2026-07-21T08:00:00+00:00,40.0
CAL-EVT-049,supply_disruption,high,20.0,CAL-MAT-049,2026-07-22T08:00:00+00:00,8.0
CAL-EVT-050,supply_disruption,high,73.0,CAL-MAT-050,2026-07-23T08:00:00+00:00,48.0
CAL-EVT-051,supply_disruption,high,76.0,CAL-MAT-051,2026-07-24T08:00:00+00:00,52.0
CAL-EVT-052,supply_disruption,high,79.0,CAL-MAT-052,2026-07-25T08:00:00+00:00,56.0
CAL-EVT-053,supply_disruption,high,82.0,CAL-MAT-053,2026-07-26T08:00:00+00:00,60.0
CAL-EVT-054,supply_disruption,high,35.0,CAL-MAT-054,2026-07-27T08:00:00+00:00,6.0
CAL-EVT-055,supply_disruption,high,88.0,CAL-MAT-055,2026-07-28T08:00:00+00:00,44.0
CAL-EVT-056,supply_disruption,high,70.0,CAL-MAT-056,2026-07-01T08:00:00+00:00,48.0
CAL-EVT-057,supply_disruption,high,73.0,CAL-MAT-057,2026-07-02T08:00:00+00:00,52.0
CAL-EVT-058,supply_disruption,high,76.0,CAL-MAT-058,2026-07-03T08:00:00+00:00,56.0
CAL-EVT-059,supply_disruption,high,29.0,CAL-MAT-059,2026-07-04T08:00:00+00:00,16.0
CAL-EVT-060,supply_disruption,medium,32.0,CAL-MAT-060,2026-07-05T08:00:00+00:00,6.0
CAL-EVT-061,supply_disruption,medium,35.0,CAL-MAT-061,2026-07-06T08:00:00+00:00,8.0
CAL-EVT-062,supply_disruption,medium,38.0,CAL-MAT-062,2026-07-07T08:00:00+00:00,10.0
CAL-EVT-063,supply_disruption,medium,20.0,CAL-MAT-063,2026-07-08T08:00:00+00:00,12.0
CAL-EVT-064,supply_disruption,medium,73.0,CAL-MAT-064,2026-07-09T08:00:00+00:00,56.0
