case_id,event_id,selected_strategy,created_at,outcome_status,covered_demand_rate,actual_delay_hours,predicted_delay_hours,actual_cost,predicted_cost,lost_orders,production_downtime_hours,human_rating
CAL-DRIFT-000,CAL-EVT-000,emergency_purchase,2026-08-01T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-001,CAL-EVT-001,emergency_purchase,2026-08-02T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-002,CAL-EVT-002,emergency_purchase,2026-08-03T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-003,CAL-EVT-003,emergency_purchase,2026-08-04T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-004,CAL-EVT-004,emergency_purchase,2026-08-05T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-005,CAL-EVT-005,emergency_purchase,2026-08-06T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-006,CAL-EVT-006,emergency_purchase,2026-08-07T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-007,CAL-EVT-007,emergency_purchase,2026-08-08T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-008,CAL-EVT-008,emergency_purchase,2026-08-09T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-009,CAL-EVT-009,emergency_purchase,2026-08-10T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-010,CAL-EVT-010,emergency_purchase,2026-08-11T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-011,CAL-EVT-011,emergency_purchase,2026-08-12T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-012,CAL-EVT-012,emergency_purchase,2026-08-13T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-013,CAL-EVT-013,emergency_purchase,2026-08-14T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-014,CAL-EVT-014,emergency_purchase,2026-08-15T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-015,CAL-EVT-015,emergency_purchase,2026-08-16T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-016,CAL-EVT-016,emergency_purchase,2026-08-17T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-017,CAL-EVT-017,emergency_purchase,2026-08-18T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-018,CAL-EVT-018,emergency_purchase,2026-08-19T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-019,CAL-EVT-019,emergency_purchase,2026-08-20T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-020,CAL-EVT-020,emergency_purchase,2026-08-21T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-021,CAL-EVT-021,emergency_purchase,2026-08-22T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-022,CAL-EVT-022,emergency_purchase,2026-08-23T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-023,CAL-EVT-023,emergency_purchase,2026-08-24T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-024,CAL-EVT-024,emergency_purchase,2026-08-25T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-025,CAL-EVT-025,emergency_purchase,2026-08-26T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-026,CAL-EVT-026,emergency_purchase,2026-08-27T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-027,CAL-EVT-027,emergency_purchase,2026-08-28T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-028,CAL-EVT-028,emergency_purchase,2026-08-01T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-029,CAL-EVT-029,emergency_purchase,2026-08-02T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-030,CAL-EVT-030,emergency_purchase,2026-08-03T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-031,CAL-EVT-031,emergency_purchase,2026-08-04T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-032,CAL-EVT-032,emergency_purchase,2026-08-05T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-033,CAL-EVT-033,emergency_purchase,2026-08-06T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-034,CAL-EVT-034,emergency_purchase,2026-08-07T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-035,CAL-EVT-035,emergency_purchase,2026-08-08T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-036,CAL-EVT-036,emergency_purchase,2026-08-09T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-DRIFT-037,CAL-EVT-037,emergency_purchase,2026-08-10T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
