case_id,event_id,selected_strategy,created_at,outcome_status,covered_demand_rate,actual_delay_hours,predicted_delay_hours,actual_cost,predicted_cost,lost_orders,production_downtime_hours,human_rating
CAL-CASE-000,CAL-EVT-000,emergency_purchase,2026-07-01T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-001,CAL-EVT-001,emergency_purchase,2026-07-02T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-002,CAL-EVT-002,emergency_purchase,2026-07-03T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-003,CAL-EVT-003,emergency_purchase,2026-07-04T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-004,CAL-EVT-004,emergency_purchase,2026-07-05T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-005,CAL-EVT-005,emergency_purchase,2026-07-06T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-006,CAL-EVT-006,emergency_purchase,2026-07-07T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-007,CAL-EVT-007,emergency_purchase,2026-07-08T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-008,CAL-EVT-008,emergency_purchase,2026-07-09T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-009,CAL-EVT-009,emergency_purchase,2026-07-10T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-010,CAL-EVT-010,emergency_purchase,2026-07-11T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-011,CAL-EVT-011,emergency_purchase,2026-07-12T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-012,CAL-EVT-012,emergency_purchase,2026-07-13T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-013,CAL-EVT-013,emergency_purchase,2026-07-14T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-014,CAL-EVT-014,emergency_purchase,2026-07-15T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-015,CAL-EVT-015,emergency_purchase,2026-07-16T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-016,CAL-EVT-016,emergency_purchase,2026-07-17T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-017,CAL-EVT-017,emergency_purchase,2026-07-18T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-018,CAL-EVT-018,emergency_purchase,2026-07-19T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-019,CAL-EVT-019,emergency_purchase,2026-07-20T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-020,CAL-EVT-020,emergency_purchase,2026-07-21T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-021,CAL-EVT-021,emergency_purchase,2026-07-22T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-022,CAL-EVT-022,emergency_purchase,2026-07-23T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-023,CAL-EVT-023,emergency_purchase,2026-07-24T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-024,CAL-EVT-024,emergency_purchase,2026-07-25T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-025,CAL-EVT-025,emergency_purchase,2026-07-26T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-026,CAL-EVT-026,emergency_purchase,2026-07-27T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-027,CAL-EVT-027,emergency_purchase,2026-07-28T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-028,CAL-EVT-028,emergency_purchase,2026-07-01T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-029,CAL-EVT-029,emergency_purchase,2026-07-02T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-030,CAL-EVT-030,emergency_purchase,2026-07-03T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-031,CAL-EVT-031,emergency_purchase,2026-07-04T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-032,CAL-EVT-032,emergency_purchase,2026-07-05T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-033,CAL-EVT-033,emergency_purchase,2026-07-06T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-034,CAL-EVT-034,emergency_purchase,2026-07-07T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-035,CAL-EVT-035,emergency_purchase,2026-07-08T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-036,CAL-EVT-036,emergency_purchase,2026-07-09T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-037,CAL-EVT-037,emergency_purchase,2026-07-10T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
