snapshot_id,snapshot_date,material_id,warehouse_id,inventory_value,available_qty,safety_stock_qty,allocated_qty
CAL-SNP-000,2026-07-01,CAL-MAT-000,WH-CAL,3250.0,260.0,230.0,742.86
CAL-SNP-001,2026-07-01,CAL-MAT-001,WH-CAL,3437.5,275.0,237.5,723.68
CAL-SNP-002,2026-07-01,CAL-MAT-002,WH-CAL,3625.0,290.0,245.0,707.32
CAL-SNP-003,2026-07-01,CAL-MAT-003,WH-CAL,3812.5,305.0,252.5,693.18
CAL-SNP-004,2026-07-01,CAL-MAT-004,WH-CAL,7625.0,610.0,405.0,628.87
CAL-SNP-005,2026-07-01,CAL-MAT-005,WH-CAL,4187.5,335.0,267.5,957.14
CAL-SNP-006,2026-07-01,CAL-MAT-006,WH-CAL,4375.0,350.0,275.0,921.05
CAL-SNP-007,2026-07-01,CAL-MAT-007,WH-CAL,4562.5,365.0,282.5,890.24
CAL-SNP-008,2026-07-01,CAL-MAT-008,WH-CAL,4750.0,380.0,290.0,863.64
CAL-SNP-009,2026-07-01,CAL-MAT-009,WH-CAL,8562.5,685.0,442.5,706.19
CAL-SNP-010,2026-07-01,CAL-MAT-010,WH-CAL,3250.0,260.0,230.0,742.86
CAL-SNP-011,2026-07-01,CAL-MAT-011,WH-CAL,3437.5,275.0,237.5,723.68
CAL-SNP-012,2026-07-01,CAL-MAT-012,WH-CAL,3625.0,290.0,245.0,707.32
CAL-SNP-013,2026-07-01,CAL-MAT-013,WH-CAL,3812.5,305.0,252.5,693.18
CAL-SNP-014,2026-07-01,CAL-MAT-014,WH-CAL,7625.0,610.0,405.0,628.87
CAL-SNP-015,2026-07-01,CAL-MAT-015,WH-CAL,4187.5,335.0,267.5,957.14
CAL-SNP-016,2026-07-01,CAL-MAT-016,WH-CAL,4375.0,350.0,275.0,921.05
CAL-SNP-017,2026-07-01,CAL-MAT-017,WH-CAL,4562.5,365.0,282.5,890.24
CAL-SNP-018,2026-07-01,CAL-MAT-018,WH-CAL,4750.0,380.0,290.0,863.64
CAL-SNP-019,2026-07-01,CAL-MAT-019,WH-CAL,8562.5,685.0,442.5,706.19
CAL-SNP-020,2026-07-01,CAL-MAT-020,WH-CAL,3250.0,260.0,230.0,742.86
CAL-SNP-021,2026-07-01,CAL-MAT-021,WH-CAL,3437.5,275.0,237.5,723.68
CAL-SNP-022,2026-07-01,CAL-MAT-022,WH-CAL,3625.0,290.0,245.0,707.32
