material_id,material_name,category,unit,criticality,standard_cost,daily_consumption
CAL-MAT-000,校准夹具物料 000,电子元器件,件,critical,12.5,240.0
CAL-MAT-001,校准夹具物料 001,电子元器件,件,critical,12.5,240.0
CAL-MAT-002,校准夹具物料 002,电子元器件,件,critical,12.5,240.0
CAL-MAT-003,校准夹具物料 003,电子元器件,件,critical,12.5,240.0
CAL-MAT-004,校准夹具物料 004,电子元器件,件,critical,12.5,240.0
CAL-MAT-005,校准夹具物料 005,电子元器件,件,critical,12.5,240.0
CAL-MAT-006,校准夹具物料 006,电子元器件,件,critical,12.5,240.0
CAL-MAT-007,校准夹具物料 007,电子元器件,件,critical,12.5,240.0
CAL-MAT-008,校准夹具物料 008,电子元器件,件,critical,12.5,240.0
CAL-MAT-009,校准夹具物料 009,电子元器件,件,critical,12.5,240.0
CAL-MAT-010,校准夹具物料 010,电子元器件,件,critical,12.5,240.0
CAL-MAT-011,校准夹具物料 011,电子元器件,件,critical,12.5,240.0
CAL-MAT-012,校准夹具物料 012,电子元器件,件,critical,12.5,240.0
CAL-MAT-013,校准夹具物料 013,电子元器件,件,critical,12.5,240.0
CAL-MAT-014,校准夹具物料 014,电子元器件,件,critical,12.5,240.0
CAL-MAT-015,校准夹具物料 015,电子元器件,件,critical,12.5,240.0
CAL-MAT-016,校准夹具物料 016,电子元器件,件,critical,12.5,240.0
CAL-MAT-017,校准夹具物料 017,电子元器件,件,critical,12.5,240.0
CAL-MAT-018,校准夹具物料 018,电子元器件,件,critical,12.5,240.0
CAL-MAT-019,校准夹具物料 019,电子元器件,件,critical,12.5,240.0
CAL-MAT-020,校准夹具物料 020,电子元器件,件,critical,12.5,240.0
CAL-MAT-021,校准夹具物料 021,电子元器件,件,critical,12.5,240.0
CAL-MAT-022,校准夹具物料 022,电子元器件,件,critical,12.5,240.0
CAL-MAT-023,校准夹具物料 023,电子元器件,件,critical,12.5,240.0
CAL-MAT-024,校准夹具物料 024,电子元器件,件,critical,12.5,240.0
CAL-MAT-025,校准夹具物料 025,电子元器件,件,critical,12.5,240.0
CAL-MAT-026,校准夹具物料 026,电子元器件,件,critical,12.5,240.0
CAL-MAT-027,校准夹具物料 027,电子元器件,件,critical,12.5,240.0
CAL-MAT-028,校准夹具物料 028,电子元器件,件,critical,12.5,240.0
CAL-MAT-029,校准夹具物料 029,电子元器件,件,critical,12.5,240.0
CAL-MAT-030,校准夹具物料 030,电子元器件,件,critical,12.5,240.0
CAL-MAT-031,校准夹具物料 031,电子元器件,件,critical,12.5,240.0
CAL-MAT-032,校准夹具物料 032,电子元器件,件,critical,12.5,240.0
CAL-MAT-033,校准夹具物料 033,电子元器件,件,critical,12.5,240.0
CAL-MAT-034,校准夹具物料 034,电子元器件,件,critical,12.5,240.0
CAL-MAT-035,校准夹具物料 035,电子元器件,件,critical,12.5,240.0
CAL-MAT-036,校准夹具物料 036,电子元器件,件,critical,12.5,240.0
CAL-MAT-037,校准夹具物料 037,电子元器件,件,critical,12.5,240.0
CAL-MAT-038,校准夹具物料 038,电子元器件,件,critical,12.5,240.0
CAL-MAT-039,校准夹具物料 039,电子元器件,件,critical,12.5,240.0
CAL-MAT-040,校准夹具物料 040,电子元器件,件,critical,12.5,240.0
CAL-MAT-041,校准夹具物料 041,电子元器件,件,critical,12.5,240.0
CAL-MAT-042,校准夹具物料 042,电子元器件,件,critical,12.5,240.0
CAL-MAT-043,校准夹具物料 043,电子元器件,件,critical,12.5,240.0
CAL-MAT-044,校准夹具物料 044,电子元器件,件,critical,12.5,240.0
CAL-MAT-045,校准夹具物料 045,电子元器件,件,critical,12.5,240.0
CAL-MAT-046,校准夹具物料 046,电子元器件,件,critical,12.5,240.0
CAL-MAT-047,校准夹具物料 047,电子元器件,件,critical,12.5,240.0
CAL-MAT-048,校准夹具物料 048,电子元器件,件,critical,12.5,240.0
CAL-MAT-049,校准夹具物料 049,电子元器件,件,critical,12.5,240.0
CAL-MAT-050,校准夹具物料 050,电子元器件,件,critical,12.5,240.0
CAL-MAT-051,校准夹具物料 051,电子元器件,件,critical,12.5,240.0
CAL-MAT-052,校准夹具物料 052,电子元器件,件,critical,12.5,240.0
CAL-MAT-053,校准夹具物料 053,电子元器件,件,critical,12.5,240.0
CAL-MAT-054,校准夹具物料 054,电子元器件,件,critical,12.5,240.0
CAL-MAT-055,校准夹具物料 055,电子元器件,件,critical,12.5,240.0
CAL-MAT-056,校准夹具物料 056,电子元器件,件,critical,12.5,240.0
CAL-MAT-057,校准夹具物料 057,电子元器件,件,critical,12.5,240.0
CAL-MAT-058,校准夹具物料 058,电子元器件,件,critical,12.5,240.0
CAL-MAT-059,校准夹具物料 059,电子元器件,件,critical,12.5,240.0
CAL-MAT-060,校准夹具物料 060,电子元器件,件,normal,12.5,240.0
CAL-MAT-061,校准夹具物料 061,电子元器件,件,normal,12.5,240.0
CAL-MAT-062,校准夹具物料 062,电子元器件,件,normal,12.5,240.0
CAL-MAT-063,校准夹具物料 063,电子元器件,件,normal,12.5,240.0
CAL-MAT-064,校准夹具物料 064,电子元器件,件,normal,12.5,240.0
CAL-MAT-065,校准夹具物料 065,电子元器件,件,normal,12.5,240.0
CAL-MAT-066,校准夹具物料 066,电子元器件,件,normal,12.5,240.0
CAL-MAT-067,校准夹具物料 067,电子元器件,件,normal,12.5,240.0
CAL-MAT-068,校准夹具物料 068,电子元器件,件,normal,12.5,240.0
CAL-MAT-069,校准夹具物料 069,电子元器件,件,normal,12.5,240.0
CAL-MAT-070,校准夹具物料 070,电子元器件,件,normal,12.5,240.0
CAL-MAT-071,校准夹具物料 071,电子元器件,件,normal,12.5,240.0
CAL-MAT-072,校准夹具物料 072,电子元器件,件,normal,12.5,240.0
CAL-MAT-073,校准夹具物料 073,电子元器件,件,normal,12.5,240.0
CAL-MAT-074,校准夹具物料 074,电子元器件,件,normal,12.5,240.0
CAL-MAT-075,校准夹具物料 075,电子元器件,件,normal,12.5,240.0
CAL-MAT-076,校准夹具物料 076,电子元器件,件,normal,12.5,240.0
CAL-MAT-077,校准夹具物料 077,电子元器件,件,normal,12.5,240.0
CAL-MAT-078,校准夹具物料 078,电子元器件,件,normal,12.5,240.0
CAL-MAT-079,校准夹具物料 079,电子元器件,件,normal,12.5,240.0
CAL-MAT-080,校准夹具物料 080,电子元器件,件,normal,12.5,240.0
CAL-MAT-081,校准夹具物料 081,电子元器件,件,normal,12.5,240.0
CAL-MAT-082,校准夹具物料 082,电子元器件,件,normal,12.5,240.0
CAL-MAT-083,校准夹具物料 083,电子元器件,件,normal,12.5,240.0
CAL-MAT-084,校准夹具物料 084,电子元器件,件,normal,12.5,240.0
CAL-MAT-085,校准夹具物料 085,电子元器件,件,normal,12.5,240.0
CAL-MAT-086,校准夹具物料 086,电子元器件,件,normal,12.5,240.0
CAL-MAT-087,校准夹具物料 087,电子元器件,件,normal,12.5,240.0
CAL-MAT-088,校准夹具物料 088,电子元器件,件,normal,12.5,240.0
CAL-MAT-089,校准夹具物料 089,电子元器件,件,normal,12.5,240.0
CAL-MAT-090,校准夹具物料 090,电子元器件,件,normal,12.5,240.0
CAL-MAT-091,校准夹具物料 091,电子元器件,件,normal,12.5,240.0
CAL-MAT-092,校准夹具物料 092,电子元器件,件,normal,12.5,240.0
CAL-MAT-093,校准夹具物料 093,电子元器件,件,normal,12.5,240.0
CAL-MAT-094,校准夹具物料 094,电子元器件,件,normal,12.5,240.0
CAL-MAT-095,校准夹具物料 095,电子元器件,件,normal,12.5,240.0
CAL-MAT-096,校准夹具物料 096,电子元器件,件,normal,12.5,240.0
CAL-MAT-097,校准夹具物料 097,电子元器件,件,normal,12.5,240.0
CAL-MAT-098,校准夹具物料 098,电子元器件,件,normal,12.5,240.0
CAL-MAT-099,校准夹具物料 099,电子元器件,件,normal,12.5,240.0
CAL-MAT-100,校准夹具物料 100,电子元器件,件,normal,12.5,240.0
CAL-MAT-101,校准夹具物料 101,电子元器件,件,normal,12.5,240.0
CAL-MAT-102,校准夹具物料 102,电子元器件,件,normal,12.5,240.0
CAL-MAT-103,校准夹具物料 103,电子元器件,件,normal,12.5,240.0
CAL-MAT-104,校准夹具物料 104,电子元器件,件,normal,12.5,240.0
CAL-MAT-105,校准夹具物料 105,电子元器件,件,normal,12.5,240.0
CAL-MAT-106,校准夹具物料 106,电子元器件,件,normal,12.5,240.0
CAL-MAT-107,校准夹具物料 107,电子元器件,件,normal,12.5,240.0
CAL-MAT-108,校准夹具物料 108,电子元器件,件,normal,12.5,240.0
CAL-MAT-109,校准夹具物料 109,电子元器件,件,normal,12.5,240.0
CAL-MAT-110,校准夹具物料 110,电子元器件,件,normal,12.5,240.0
CAL-MAT-111,校准夹具物料 111,电子元器件,件,normal,12.5,240.0
CAL-MAT-112,校准夹具物料 112,电子元器件,件,normal,12.5,240.0
CAL-MAT-113,校准夹具物料 113,电子元器件,件,normal,12.5,240.0
CAL-MAT-114,校准夹具物料 114,电子元器件,件,normal,12.5,240.0
CAL-MAT-115,校准夹具物料 115,电子元器件,件,normal,12.5,240.0
CAL-MAT-116,校准夹具物料 116,电子元器件,件,normal,12.5,240.0
CAL-MAT-117,校准夹具物料 117,电子元器件,件,normal,12.5,240.0
CAL-MAT-118,校准夹具物料 118,电子元器件,件,normal,12.5,240.0
CAL-MAT-119,校准夹具物料 119,电子元器件,件,normal,12.5,240.0
