movement_id,material_id,warehouse_id,movement_type,quantity,unit_cost,reference_type,reference_id,movement_at,operator
MOV-00000001,MAT-0169,WH-02,issue,-6027,37.41,sales_order,REF-240053,2025-08-15T18:36:00+08:00,仓储用户06
MOV-00000002,MAT-0061,WH-05,receipt,123,308.6,sales_order,REF-734593,2026-02-20T01:51:00+08:00,仓储用户16
MOV-00000003,MAT-0149,WH-02,receipt,6601,175.18,sales_order,REF-420006,2025-11-15T05:51:00+08:00,仓储用户19
MOV-00000004,MAT-0112,WH-06,receipt,5354,16.8,production_order,REF-835716,2025-09-19T19:18:00+08:00,仓储用户19
MOV-00000005,MAT-0104,WH-05,issue,-5983,728.18,purchase_order,REF-863029,2025-06-24T16:26:00+08:00,仓储用户17
MOV-00000006,MAT-0003,WH-03,transfer_in,1925,267.98,sales_order,REF-344061,2025-11-14T16:30:00+08:00,仓储用户09
MOV-00000007,MAT-0144,WH-03,transfer_out,-6778,11.29,sales_order,REF-672950,2025-09-02T13:24:00+08:00,仓储用户34
MOV-00000008,MAT-0079,WH-04,transfer_out,-373,39.98,production_order,REF-662933,2026-02-24T02:00:00+08:00,仓储用户42
MOV-00000009,MAT-0014,WH-05,quality_hold,-346,252.49,purchase_order,REF-013140,2025-07-07T03:45:00+08:00,仓储用户32
MOV-00000010,MAT-0118,WH-05,receipt,4417,337.1,manual,REF-605092,2026-05-15T00:56:00+08:00,仓储用户25
MOV-00000011,MAT-0089,WH-05,issue,-5601,219.98,purchase_order,REF-426443,2025-09-13T18:07:00+08:00,仓储用户22
MOV-00000012,MAT-0199,WH-05,adjustment,5105,519.1,production_order,REF-348029,2025-08-08T08:39:00+08:00,仓储用户07
MOV-00000013,MAT-0237,WH-06,issue,-2420,44.55,sales_order,REF-557977,2026-05-06T00:23:00+08:00,仓储用户12
MOV-00000014,MAT-0149,WH-05,issue,-813,175.18,production_order,REF-430427,2025-12-12T09:12:00+08:00,仓储用户07
MOV-00000015,MAT-0211,WH-03,issue,-5779,860.1,sales_order,REF-671016,2026-05-19T00:59:00+08:00,仓储用户43
MOV-00000016,MAT-0025,WH-03,issue,-3615,707.23,manual,REF-878456,2026-01-24T05:26:00+08:00,仓储用户36
MOV-00000017,MAT-0168,WH-06,transfer_out,-5830,490.26,purchase_order,REF-242146,2025-08-10T12:16:00+08:00,仓储用户05
MOV-00000018,MAT-0184,WH-05,quality_hold,-5351,259.45,manual,REF-370189,2026-03-24T04:07:00+08:00,仓储用户31
MOV-00000019,MAT-0083,WH-05,receipt,216,246.81,sales_order,REF-348367,2025-12-18T22:14:00+08:00,仓储用户19
MOV-00000020,MAT-0117,WH-03,adjustment,6713,185.14,purchase_order,REF-923035,2026-01-08T10:14:00+08:00,仓储用户12
MOV-00000021,MAT-0232,WH-06,receipt,4324,840.75,sales_order,REF-258983,2026-03-18T05:06:00+08:00,仓储用户44
MOV-00000022,MAT-0169,WH-03,issue,-7613,37.41,sales_order,REF-548333,2025-11-18T23:48:00+08:00,仓储用户30
MOV-00000023,MAT-0230,WH-05,issue,-1593,890.27,production_order,REF-604601,2026-01-31T02:24:00+08:00,仓储用户27
MOV-00000024,MAT-0161,WH-03,transfer_in,4455,433.3,manual,REF-153027,2026-02-13T21:44:00+08:00,仓储用户17
MOV-00000025,MAT-0127,WH-04,transfer_out,-2444,903.9,manual,REF-158387,2025-10-02T03:46:00+08:00,仓储用户05
MOV-00000026,MAT-0011,WH-01,issue,-5883,7.25,purchase_order,REF-154772,2026-05-02T11:43:00+08:00,仓储用户26
MOV-00000027,MAT-0065,WH-05,adjustment,7539,365.72,sales_order,REF-295662,2025-11-06T21:55:00+08:00,仓储用户45
MOV-00000028,MAT-0175,WH-05,transfer_in,6304,464.71,production_order,REF-470438,2026-01-24T11:46:00+08:00,仓储用户44
MOV-00000029,MAT-0081,WH-02,issue,-4285,523.81,purchase_order,REF-941255,2026-02-01T16:14:00+08:00,仓储用户01
MOV-00000030,MAT-0216,WH-03,adjustment,2955,120.11,sales_order,REF-453737,2025-07-11T09:42:00+08:00,仓储用户32
MOV-00000031,MAT-0037,WH-04,receipt,3120,565.27,purchase_order,REF-482944,2026-02-09T05:19:00+08:00,仓储用户17
MOV-00000032,MAT-0011,WH-04,transfer_in,1151,7.25,production_order,REF-847742,2026-06-14T17:40:00+08:00,仓储用户31
MOV-00000033,MAT-0175,WH-06,receipt,7969,464.71,sales_order,REF-036318,2026-06-13T03:49:00+08:00,仓储用户04
MOV-00000034,MAT-0006,WH-06,issue,-3094,344.89,manual,REF-289196,2026-04-15T00:55:00+08:00,仓储用户38
MOV-00000035,MAT-0159,WH-03,receipt,6208,14.62,purchase_order,REF-212068,2025-11-27T15:04:00+08:00,仓储用户20
MOV-00000036,MAT-0009,WH-04,transfer_out,-2376,48.15,sales_order,REF-964213,2026-01-05T15:28:00+08:00,仓储用户35
