snapshot_id,snapshot_date,material_id,warehouse_id,on_hand_qty,available_qty,allocated_qty,in_transit_qty,safety_stock_qty,inventory_value
SNP-20260615-0001-01,2026-06-15,MAT-0001,WH-01,681,654,27,84,351,119106.9
SNP-20260615-0001-02,2026-06-15,MAT-0001,WH-02,442,434,8,367,351,77305.8
SNP-20260615-0001-03,2026-06-15,MAT-0001,WH-03,333,321,12,321,351,58241.7
SNP-20260615-0001-04,2026-06-15,MAT-0001,WH-04,266,198,68,469,351,46523.4
SNP-20260615-0001-05,2026-06-15,MAT-0001,WH-05,310,197,113,316,351,54219.0
SNP-20260615-0001-06,2026-06-15,MAT-0001,WH-06,460,276,184,70,351,80454.0
SNP-20260615-0002-01,2026-06-15,MAT-0002,WH-01,823,514,309,97,489,912204.97
SNP-20260615-0002-02,2026-06-15,MAT-0002,WH-02,536,454,82,376,489,594097.04
SNP-20260615-0002-03,2026-06-15,MAT-0002,WH-03,100,87,13,491,489,110839.0
SNP-20260615-0002-04,2026-06-15,MAT-0002,WH-04,734,601,133,62,489,813558.26
SNP-20260615-0002-05,2026-06-15,MAT-0002,WH-05,672,480,192,392,489,744838.08
SNP-20260615-0002-06,2026-06-15,MAT-0002,WH-06,334,303,31,213,489,370202.26
SNP-20260615-0003-01,2026-06-15,MAT-0003,WH-01,1382,1191,191,405,600,370348.36
SNP-20260615-0003-02,2026-06-15,MAT-0003,WH-02,476,427,49,471,600,127558.48
SNP-20260615-0003-03,2026-06-15,MAT-0003,WH-03,772,582,190,80,600,206880.56
SNP-20260615-0003-04,2026-06-15,MAT-0003,WH-04,298,264,34,848,600,79858.04
SNP-20260615-0003-05,2026-06-15,MAT-0003,WH-05,1008,925,83,400,600,270123.84
SNP-20260615-0003-06,2026-06-15,MAT-0003,WH-06,113,77,36,657,600,30281.74
SNP-20260615-0004-01,2026-06-15,MAT-0004,WH-01,252,225,27,305,322,88464.6
SNP-20260615-0004-02,2026-06-15,MAT-0004,WH-02,284,259,25,118,322,99698.2
SNP-20260615-0004-03,2026-06-15,MAT-0004,WH-03,200,170,30,199,322,70210.0
SNP-20260615-0004-04,2026-06-15,MAT-0004,WH-04,645,565,80,277,322,226427.25
SNP-20260615-0004-05,2026-06-15,MAT-0004,WH-05,322,249,73,62,322,113038.1
SNP-20260615-0004-06,2026-06-15,MAT-0004,WH-06,210,167,43,58,322,73720.5
SNP-20260615-0005-01,2026-06-15,MAT-0005,WH-01,521,355,166,279,891,187018.16
SNP-20260615-0005-02,2026-06-15,MAT-0005,WH-02,1016,960,56,491,891,364703.36
SNP-20260615-0005-03,2026-06-15,MAT-0005,WH-03,843,613,230,104,891,302603.28
SNP-20260615-0005-04,2026-06-15,MAT-0005,WH-04,2389,1960,429,57,891,857555.44
SNP-20260615-0005-05,2026-06-15,MAT-0005,WH-05,459,439,20,991,891,164762.64
SNP-20260615-0005-06,2026-06-15,MAT-0005,WH-06,376,362,14,704,891,134968.96
SNP-20260615-0006-01,2026-06-15,MAT-0006,WH-01,288,286,2,67,125,99328.32
SNP-20260615-0006-02,2026-06-15,MAT-0006,WH-02,168,146,22,183,125,57941.52
SNP-20260615-0006-03,2026-06-15,MAT-0006,WH-03,311,236,75,105,125,107260.79
SNP-20260615-0006-04,2026-06-15,MAT-0006,WH-04,309,227,82,16,125,106571.01
SNP-20260615-0006-05,2026-06-15,MAT-0006,WH-05,51,42,9,17,125,17589.39
SNP-20260615-0006-06,2026-06-15,MAT-0006,WH-06,242,198,44,131,125,83463.38
SNP-20260615-0007-01,2026-06-15,MAT-0007,WH-01,3696,3381,315,170,2846,3991532.16
SNP-20260615-0007-02,2026-06-15,MAT-0007,WH-02,4177,4138,39,1181,2846,4510992.92
SNP-20260615-0007-03,2026-06-15,MAT-0007,WH-03,2615,2455,160,1173,2846,2824095.4
SNP-20260615-0007-04,2026-06-15,MAT-0007,WH-04,6130,4278,1852,884,2846,6620154.8
SNP-20260615-0007-05,2026-06-15,MAT-0007,WH-05,818,729,89,1702,2846,883407.28
SNP-20260615-0007-06,2026-06-15,MAT-0007,WH-06,2173,2083,90,2794,2846,2346753.08
SNP-20260615-0008-01,2026-06-15,MAT-0008,WH-01,1375,972,403,760,1347,491177.5
SNP-20260615-0008-02,2026-06-15,MAT-0008,WH-02,3009,2867,142,1293,1347,1074874.98
SNP-20260615-0008-03,2026-06-15,MAT-0008,WH-03,1525,1042,483,875,1347,544760.5
SNP-20260615-0008-04,2026-06-15,MAT-0008,WH-04,1186,960,226,282,1347,423662.92
SNP-20260615-0008-05,2026-06-15,MAT-0008,WH-05,427,358,69,797,1347,152532.94
SNP-20260615-0008-06,2026-06-15,MAT-0008,WH-06,1483,1465,18,1960,1347,529757.26
SNP-20260615-0009-01,2026-06-15,MAT-0009,WH-01,1388,1176,212,207,597,66832.2
SNP-20260615-0009-02,2026-06-15,MAT-0009,WH-02,614,484,130,350,597,29564.1
SNP-20260615-0009-03,2026-06-15,MAT-0009,WH-03,1155,742,413,157,597,55613.25
SNP-20260615-0009-04,2026-06-15,MAT-0009,WH-04,362,356,6,180,597,17430.3
SNP-20260615-0009-05,2026-06-15,MAT-0009,WH-05,125,112,13,424,597,6018.75
SNP-20260615-0009-06,2026-06-15,MAT-0009,WH-06,589,582,7,27,597,28360.35
SNP-20260615-0010-01,2026-06-15,MAT-0010,WH-01,896,789,107,481,769,628785.92
SNP-20260615-0010-02,2026-06-15,MAT-0010,WH-02,355,291,64,43,769,249128.35
SNP-20260615-0010-03,2026-06-15,MAT-0010,WH-03,674,603,71,755,769,472992.98
SNP-20260615-0010-04,2026-06-15,MAT-0010,WH-04,1778,1675,103,262,769,1247747.06
SNP-20260615-0010-05,2026-06-15,MAT-0010,WH-05,1393,1250,143,63,769,977565.61
SNP-20260615-0010-06,2026-06-15,MAT-0010,WH-06,455,333,122,416,769,319305.35
SNP-20260615-0011-01,2026-06-15,MAT-0011,WH-01,307,276,31,486,651,2225.75
SNP-20260615-0011-02,2026-06-15,MAT-0011,WH-02,1309,1001,308,896,651,9490.25
SNP-20260615-0011-03,2026-06-15,MAT-0011,WH-03,1152,959,193,41,651,8352.0
SNP-20260615-0011-04,2026-06-15,MAT-0011,WH-04,239,155,84,241,651,1732.75
SNP-20260615-0011-05,2026-06-15,MAT-0011,WH-05,288,213,75,860,651,2088.0
SNP-20260615-0011-06,2026-06-15,MAT-0011,WH-06,605,588,17,300,651,4386.25
SNP-20260615-0012-01,2026-06-15,MAT-0012,WH-01,571,512,59,149,1248,423265.17
SNP-20260615-0012-02,2026-06-15,MAT-0012,WH-02,1261,1057,204,1410,1248,934741.47
SNP-20260615-0012-03,2026-06-15,MAT-0012,WH-03,288,189,99,1478,1248,213485.76
SNP-20260615-0012-04,2026-06-15,MAT-0012,WH-04,3142,2522,620,735,1248,2329070.34
SNP-20260615-0012-05,2026-06-15,MAT-0012,WH-05,656,501,155,1336,1248,486273.12
SNP-20260615-0012-06,2026-06-15,MAT-0012,WH-06,3096,2886,210,1137,1248,2294971.92
SNP-20260615-0013-01,2026-06-15,MAT-0013,WH-01,60,60,0,70,298,56709.6
SNP-20260615-0013-02,2026-06-15,MAT-0013,WH-02,474,337,137,317,298,448005.84
SNP-20260615-0013-03,2026-06-15,MAT-0013,WH-03,516,386,130,259,298,487702.56
SNP-20260615-0013-04,2026-06-15,MAT-0013,WH-04,637,582,55,20,298,602066.92
SNP-20260615-0013-05,2026-06-15,MAT-0013,WH-05,502,291,211,185,298,474470.32
SNP-20260615-0013-06,2026-06-15,MAT-0013,WH-06,486,304,182,30,298,459347.76
SNP-20260615-0014-01,2026-06-15,MAT-0014,WH-01,22,19,3,7,19,5554.78
SNP-20260615-0014-02,2026-06-15,MAT-0014,WH-02,31,27,4,0,19,7827.19
SNP-20260615-0014-03,2026-06-15,MAT-0014,WH-03,32,26,6,17,19,8079.68
SNP-20260615-0014-04,2026-06-15,MAT-0014,WH-04,31,31,0,6,19,7827.19
SNP-20260615-0014-05,2026-06-15,MAT-0014,WH-05,9,9,0,12,19,2272.41
SNP-20260615-0014-06,2026-06-15,MAT-0014,WH-06,32,24,8,4,19,8079.68
SNP-20260615-0015-01,2026-06-15,MAT-0015,WH-01,5217,4278,939,3530,2706,1496705.13
SNP-20260615-0015-02,2026-06-15,MAT-0015,WH-02,3307,3088,219,1785,2706,948745.23
SNP-20260615-0015-03,2026-06-15,MAT-0015,WH-03,1551,1145,406,1244,2706,444966.39
SNP-20260615-0015-04,2026-06-15,MAT-0015,WH-04,1762,1683,79,1057,2706,505500.18
SNP-20260615-0015-05,2026-06-15,MAT-0015,WH-05,1967,1879,88,1338,2706,564312.63
SNP-20260615-0015-06,2026-06-15,MAT-0015,WH-06,5740,3959,1781,575,2706,1646748.6
SNP-20260615-0016-01,2026-06-15,MAT-0016,WH-01,94,91,3,67,110,20216.58
SNP-20260615-0016-02,2026-06-15,MAT-0016,WH-02,89,55,34,81,110,19141.23
