sales_order_id,customer_id,customer_level,order_created_at,promised_delivery_at,order_status,currency,order_amount,gross_profit,penalty_cost,sales_region,line_count,updated_at
SO-202509-000001,CUS-0005,A,2025-09-23T15:10:00+08:00,2025-09-26T03:10:00+08:00,at_risk,CNY,99845.22,30742.71,3494.58,青岛,2,2025-10-07T15:10:00+08:00
SO-202602-000002,CUS-0056,B,2026-02-03T07:00:00+08:00,2026-02-06T19:00:00+08:00,delivered,CNY,4522552.7,2037506.5,81405.95,成都,2,2026-03-12T07:00:00+08:00
SO-202506-000003,CUS-0015,C,2025-06-22T11:34:00+08:00,2025-06-27T23:34:00+08:00,shipped,CNY,3088792.96,1099077.2,24710.34,上海,3,2025-06-27T11:34:00+08:00
SO-202507-000004,CUS-0020,B,2025-07-24T10:11:00+08:00,2025-07-26T22:11:00+08:00,shipped,CNY,554108.31,221651.68,9973.95,宁波,4,2025-07-27T10:11:00+08:00
SO-202603-000005,CUS-0096,C,2026-03-11T00:42:00+08:00,2026-03-18T00:42:00+08:00,confirmed,CNY,10762335.7,4307591.13,86098.69,苏州,5,2026-04-14T00:42:00+08:00
SO-202510-000006,CUS-0026,B,2025-10-29T17:39:00+08:00,2025-11-03T17:39:00+08:00,delivered,CNY,1274157.21,441820.66,22934.83,天津,5,2025-12-03T17:39:00+08:00
SO-202604-000007,CUS-0115,C,2026-04-16T10:33:00+08:00,2026-04-23T10:33:00+08:00,delivered,CNY,1728139.81,662279.92,13825.12,东莞,2,2026-05-24T10:33:00+08:00
SO-202606-000008,CUS-0070,A,2026-06-06T23:22:00+08:00,2026-06-08T23:22:00+08:00,confirmed,CNY,367950.44,133137.29,12878.27,苏州,1,2026-06-15T08:00:00+08:00
SO-202508-000009,CUS-0033,B,2025-08-17T11:19:00+08:00,2025-08-20T11:19:00+08:00,shipped,CNY,297762.47,119206.86,5359.72,青岛,2,2025-09-23T11:19:00+08:00
SO-202601-000010,CUS-0044,B,2026-01-14T04:17:00+08:00,2026-01-17T04:17:00+08:00,confirmed,CNY,2424217.79,764102.64,43635.92,宁波,3,2026-02-16T04:17:00+08:00
SO-202512-000011,CUS-0041,B,2025-12-20T14:56:00+08:00,2025-12-23T14:56:00+08:00,at_risk,CNY,881024.01,290672.62,15858.43,成都,3,2026-01-05T14:56:00+08:00
SO-202512-000012,CUS-0082,C,2025-12-05T19:55:00+08:00,2025-12-10T19:55:00+08:00,confirmed,CNY,1314116.17,549576.15,10512.93,武汉,2,2026-01-15T19:55:00+08:00
SO-202509-000013,CUS-0007,B,2025-09-30T17:21:00+08:00,2025-10-04T17:21:00+08:00,delivered,CNY,15549.13,6996.17,279.88,武汉,1,2025-10-20T17:21:00+08:00
SO-202605-000014,CUS-0040,C,2026-05-05T02:18:00+08:00,2026-05-12T02:18:00+08:00,delivered,CNY,140530.92,46594.03,1124.25,合肥,1,2026-05-24T02:18:00+08:00
SO-202511-000015,CUS-0017,C,2025-11-04T11:55:00+08:00,2025-11-09T11:55:00+08:00,delivered,CNY,2622512.47,587368.63,20980.1,青岛,3,2025-12-04T11:55:00+08:00
SO-202511-000016,CUS-0085,B,2025-11-16T17:40:00+08:00,2025-11-21T17:40:00+08:00,at_risk,CNY,10325410.36,3643863.72,185857.39,青岛,5,2025-12-21T17:40:00+08:00
SO-202508-000017,CUS-0020,B,2025-08-31T00:52:00+08:00,2025-09-03T12:52:00+08:00,delivered,CNY,1223054.75,458037.54,22014.99,宁波,3,2025-10-01T00:52:00+08:00
SO-202605-000018,CUS-0048,A,2026-05-06T01:26:00+08:00,2026-05-08T13:26:00+08:00,delivered,CNY,162423.09,58778.66,5684.81,上海,2,2026-06-14T01:26:00+08:00
SO-202511-000019,CUS-0102,A,2025-11-05T00:25:00+08:00,2025-11-07T12:25:00+08:00,shipped,CNY,3787171.31,1640179.15,132551.0,青岛,5,2025-11-16T00:25:00+08:00
SO-202509-000020,CUS-0076,B,2025-09-27T17:30:00+08:00,2025-10-01T05:30:00+08:00,delivered,CNY,1248759.63,446005.12,22477.67,杭州,3,2025-10-25T17:30:00+08:00
SO-202605-000021,CUS-0094,C,2026-05-23T08:58:00+08:00,2026-05-30T08:58:00+08:00,at_risk,CNY,11826650.71,5156109.66,94613.21,宁波,5,2026-06-12T08:58:00+08:00
SO-202512-000022,CUS-0100,B,2025-12-22T17:07:00+08:00,2025-12-25T17:07:00+08:00,shipped,CNY,7428090.89,2829731.99,133705.64,成都,4,2026-02-01T17:07:00+08:00
SO-202602-000023,CUS-0036,B,2026-02-10T06:52:00+08:00,2026-02-13T18:52:00+08:00,delivered,CNY,3741438.11,1390458.06,67345.89,成都,3,2026-02-27T06:52:00+08:00
SO-202604-000024,CUS-0026,B,2026-04-06T05:35:00+08:00,2026-04-08T17:35:00+08:00,confirmed,CNY,3931659.2,1605154.7,70769.87,天津,4,2026-04-11T05:35:00+08:00
SO-202603-000025,CUS-0117,C,2026-03-04T02:47:00+08:00,2026-03-08T14:47:00+08:00,cancelled,CNY,14495032.14,5920452.26,115960.26,苏州,4,2026-03-16T02:47:00+08:00
SO-202509-000026,CUS-0074,C,2025-09-03T04:53:00+08:00,2025-09-10T04:53:00+08:00,at_risk,CNY,6125543.29,2553291.37,49004.35,苏州,2,2025-09-22T04:53:00+08:00
SO-202508-000027,CUS-0034,A,2025-08-05T00:35:00+08:00,2025-08-09T00:35:00+08:00,delivered,CNY,6020024.21,1929343.28,210700.85,天津,4,2025-08-05T00:35:00+08:00
SO-202606-000028,CUS-0076,B,2026-06-05T15:34:00+08:00,2026-06-10T15:34:00+08:00,delivered,CNY,4834563.02,1994736.24,87022.13,杭州,3,2026-06-15T08:00:00+08:00
SO-202601-000029,CUS-0022,B,2026-01-31T18:00:00+08:00,2026-02-04T06:00:00+08:00,delivered,CNY,8116165.5,2790654.03,146090.98,武汉,4,2026-03-16T18:00:00+08:00
