supplier_material_id,supplier_id,material_id,supplier_rank,lead_time_hours,minimum_order_qty,available_emergency_qty,unit_cost,emergency_cost_multiplier,qualified,updated_at
SM-0001-01,SUP-043,MAT-0001,1,48,1000,7629,183.77,1.2,1,2026-06-09T22:00:00+08:00
SM-0001-02,SUP-045,MAT-0001,2,36,500,4146,211.12,1.23,1,2026-06-06T01:00:00+08:00
SM-0001-03,SUP-048,MAT-0001,3,36,500,13939,204.17,1.13,1,2026-06-11T18:00:00+08:00
SM-0001-04,SUP-029,MAT-0001,4,24,1000,7901,202.85,1.38,1,2026-06-12T00:00:00+08:00
SM-0001-05,SUP-020,MAT-0001,5,72,200,9178,180.81,1.62,1,2026-06-12T02:00:00+08:00
SM-0002-01,SUP-004,MAT-0002,1,48,200,8377,1041.31,1.44,1,2026-06-06T18:00:00+08:00
SM-0002-02,SUP-060,MAT-0002,2,36,1000,9587,1258.46,1.44,1,2026-06-06T19:00:00+08:00
SM-0002-03,SUP-030,MAT-0002,3,24,200,9612,1453.44,1.33,1,2026-06-07T09:00:00+08:00
SM-0002-04,SUP-029,MAT-0002,4,72,1000,14127,1170.86,1.51,1,2026-06-13T21:00:00+08:00
SM-0003-01,SUP-059,MAT-0003,1,36,1000,11195,260.36,1.32,1,2026-06-10T09:00:00+08:00
SM-0003-02,SUP-013,MAT-0003,2,120,200,10528,294.2,1.17,1,2026-06-14T03:00:00+08:00
SM-0003-03,SUP-008,MAT-0003,3,36,200,14873,252.18,1.54,0,2026-06-12T15:00:00+08:00
SM-0003-04,SUP-017,MAT-0003,4,24,200,13480,278.84,1.2,1,2026-06-11T10:00:00+08:00
SM-0004-01,SUP-032,MAT-0004,1,120,500,3989,422.49,1.19,1,2026-06-13T22:00:00+08:00
SM-0004-02,SUP-037,MAT-0004,2,168,500,8816,449.01,1.4,0,2026-06-06T19:00:00+08:00
SM-0004-03,SUP-033,MAT-0004,3,72,200,10530,344.72,1.37,1,2026-06-11T10:00:00+08:00
SM-0004-04,SUP-058,MAT-0004,4,96,50,1979,350.06,1.62,1,2026-06-14T23:00:00+08:00
SM-0004-05,SUP-031,MAT-0004,5,48,1000,9220,411.91,1.57,0,2026-06-09T06:00:00+08:00
SM-0005-01,SUP-049,MAT-0005,1,48,200,8054,423.0,1.29,1,2026-06-11T07:00:00+08:00
SM-0005-02,SUP-006,MAT-0005,2,120,1000,12246,368.59,1.08,0,2026-06-13T01:00:00+08:00
SM-0005-03,SUP-051,MAT-0005,3,120,200,14547,399.05,1.46,0,2026-06-10T13:00:00+08:00
SM-0006-01,SUP-019,MAT-0006,1,72,50,14260,430.86,1.06,1,2026-06-06T06:00:00+08:00
SM-0006-02,SUP-012,MAT-0006,2,72,500,2963,441.09,1.62,1,2026-06-07T01:00:00+08:00
