supplier_performance_id,supplier_id,period,purchase_order_count,on_time_delivery_rate,defect_rate,average_delay_hours,emergency_response_hours,score
SP-001-2026-06,SUP-001,2026-06,47,0.8544,0.12,0,22.8,86.3
SP-001-2026-05,SUP-001,2026-05,52,0.8662,0.12,17.7,5.3,87.1
SP-001-2026-04,SUP-001,2026-04,35,0.8105,0.12,3.5,19.0,83.5
SP-001-2026-03,SUP-001,2026-03,50,0.8434,0.12,17.4,12.9,85.6
SP-001-2026-02,SUP-001,2026-02,10,0.8805,0.12,11.3,23.5,88.0
SP-001-2026-01,SUP-001,2026-01,40,0.7903,0.12,21.8,15.2,82.2
SP-001-2025-12,SUP-001,2025-12,56,0.8089,0.12,14.6,10.4,83.4
SP-001-2025-11,SUP-001,2025-11,39,0.8531,0.12,16.4,3.8,86.3
SP-001-2025-10,SUP-001,2025-10,59,0.7901,0.12,17.7,2.4,82.2
SP-001-2025-09,SUP-001,2025-09,9,0.8492,0.12,14.6,11.7,86.0
SP-001-2025-08,SUP-001,2025-08,40,0.7672,0.12,23.9,18.2,80.7
SP-001-2025-07,SUP-001,2025-07,64,0.8188,0.12,7.2,30.5,84.0
SP-002-2026-06,SUP-002,2026-06,20,0.8138,0.12,11.7,14.3,83.7
SP-002-2026-05,SUP-002,2026-05,27,0.8744,0.12,5.7,2.9,87.6
SP-002-2026-04,SUP-002,2026-04,50,0.8967,0.12,12.1,28.4,89.1
SP-002-2026-03,SUP-002,2026-03,12,0.8521,0.12,17.1,17.6,86.2
SP-002-2026-02,SUP-002,2026-02,27,0.9043,0.12,9.4,18.5,89.6
SP-002-2026-01,SUP-002,2026-01,36,0.8875,0.12,2.9,8.3,88.5
SP-002-2025-12,SUP-002,2025-12,32,0.8122,0.12,12.9,22.9,83.6
SP-002-2025-11,SUP-002,2025-11,12,0.8627,0.12,20.1,27.1,86.9
SP-002-2025-10,SUP-002,2025-10,65,0.8114,0.12,21.9,20.4,83.5
SP-002-2025-09,SUP-002,2025-09,64,0.8607,0.12,1.7,30.0,86.7
SP-002-2025-08,SUP-002,2025-08,51,0.9163,0.12,6.1,12.7,90.4
SP-002-2025-07,SUP-002,2025-07,18,0.8689,0.12,15.0,17.4,87.3
SP-003-2026-06,SUP-003,2026-06,12,0.8456,0.05701,23.9,9.8,88.0
SP-003-2026-05,SUP-003,2026-05,48,0.7809,0.07271,11.2,19.7,83.2
SP-003-2026-04,SUP-003,2026-04,44,0.8287,0.05201,12.9,11.1,87.0
SP-003-2026-03,SUP-003,2026-03,41,0.8524,0.05432,1.0,12.8,88.5
SP-003-2026-02,SUP-003,2026-02,18,0.7912,0.04823,21.6,18.2,84.7
SP-003-2026-01,SUP-003,2026-01,11,0.7886,0.06595,18.1,19.5,84.0
SP-003-2025-12,SUP-003,2025-12,21,0.7896,0.06447,16.4,12.7,84.1
SP-003-2025-11,SUP-003,2025-11,33,0.7449,0.06046,21.9,13.4,81.3
SP-003-2025-10,SUP-003,2025-10,21,0.8277,0.07246,29.5,27.2,86.3
SP-003-2025-09,SUP-003,2025-09,23,0.8391,0.05346,5.9,24.8,87.7
SP-003-2025-08,SUP-003,2025-08,17,0.8264,0.05121,0,16.8,86.9
SP-003-2025-07,SUP-003,2025-07,34,0.8213,0.05521,17.4,9.6,86.5
SP-004-2026-06,SUP-004,2026-06,36,0.6929,0.08538,21.3,22.6,77.1
SP-004-2026-05,SUP-004,2026-05,52,0.6901,0.09018,25.6,24.4,76.7
SP-004-2026-04,SUP-004,2026-04,41,0.7478,0.08117,17.7,31.5,80.8
SP-004-2026-03,SUP-004,2026-03,50,0.7733,0.08545,13.0,5.0,82.3
SP-004-2026-02,SUP-004,2026-02,38,0.7177,0.0943,19.1,34.4,78.3
SP-004-2026-01,SUP-004,2026-01,11,0.7015,0.09117,26.5,1.7,77.4
SP-004-2025-12,SUP-004,2025-12,38,0.7529,0.07409,27.3,11.4,81.3
SP-004-2025-11,SUP-004,2025-11,33,0.7566,0.07779,23.2,31.3,81.5
SP-004-2025-10,SUP-004,2025-10,58,0.7702,0.07484,29.9,21.8,82.4
SP-004-2025-09,SUP-004,2025-09,33,0.7283,0.07471,31.6,18.5,79.7
SP-004-2025-08,SUP-004,2025-08,10,0.6648,0.09561,26.9,17.6,74.9
SP-004-2025-07,SUP-004,2025-07,7,0.7567,0.08568,25.3,30.9,81.2
SP-005-2026-06,SUP-005,2026-06,34,0.9226,0.12,4.5,16.3,90.8
SP-005-2026-05,SUP-005,2026-05,19,0.9456,0.12,0,25.7,92.3
SP-005-2026-04,SUP-005,2026-04,14,0.9645,0.12,6.3,11.5,93.5
SP-005-2026-03,SUP-005,2026-03,50,0.9519,0.12,3.1,31.0,92.7
SP-005-2026-02,SUP-005,2026-02,64,0.9669,0.12,0.6,12.3,93.6
SP-005-2026-01,SUP-005,2026-01,37,0.9638,0.12,11.0,35.8,93.4
SP-005-2025-12,SUP-005,2025-12,23,0.9357,0.12,10.1,28.6,91.6
SP-005-2025-11,SUP-005,2025-11,35,0.8953,0.12,4.6,32.0,89.0
SP-005-2025-10,SUP-005,2025-10,42,0.9514,0.12,7.2,17.7,92.6
SP-005-2025-09,SUP-005,2025-09,16,0.9836,0.12,0,4.5,94.7
SP-005-2025-08,SUP-005,2025-08,14,0.9118,0.12,7.9,31.7,90.1
SP-005-2025-07,SUP-005,2025-07,34,0.9121,0.12,3.2,18.7,90.1
SP-006-2026-06,SUP-006,2026-06,41,0.8917,0.12,0.9,33.3,88.8
SP-006-2026-05,SUP-006,2026-05,44,0.823,0.12,15.8,13.8,84.3
SP-006-2026-04,SUP-006,2026-04,18,0.7942,0.12,15.7,18.9,82.4
SP-006-2026-03,SUP-006,2026-03,45,0.8108,0.12,12.2,11.6,83.5
SP-006-2026-02,SUP-006,2026-02,35,0.8739,0.12,1.5,1.5,87.6
SP-006-2026-01,SUP-006,2026-01,52,0.9083,0.12,4.7,26.3,89.8
SP-006-2025-12,SUP-006,2025-12,18,0.8861,0.12,17.5,21.0,88.4
